PeakID (cmd=annotatePeaks.pl HIOE_RFX6/HIOE_RFX6_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-1	chr12	133484912	133485366	+	380.5	0.848	Intergenic	CpG	20711	NR_110919	101928530	Hs.560003	NR_110919	ENSG00000236617	LOC101928530	-	uncharacterized LOC101928530	ncRNA
chr19-6	chr19	41009371	41009825	+	379.2	0.713	intron (NM_020971, intron 11 of 35)	intron (NM_020971, intron 11 of 35)	-26800	NM_025213	57731	Hs.32706	NM_020971	ENSG00000160460	SPTBN4	CMND|NEDHND|QV|SPNB4|SPTBN3	spectrin beta, non-erythrocytic 4	protein-coding
chr1-3	chr1	51795151	51795605	+	376.7	0.930	promoter-TSS (NR_123731)	promoter-TSS (NR_123731)	52	NR_123731	102724097	Hs.568648	NR_123731	ENSG00000261664	TTC39A-AS1	-	TTC39A antisense RNA 1	ncRNA
chr3-5	chr3	129158828	129159282	+	367.9	0.974	promoter-TSS (NM_001280541)	promoter-TSS (NM_001280541)	-12	NM_052985	55764	Hs.655284	NM_018262	ENSG00000163913	IFT122	CED|CED1|SPG|WDR10|WDR10p|WDR140	intraflagellar transport 122	protein-coding
chr3-3	chr3	183947880	183948334	+	354.0	0.973	promoter-TSS (NM_138345)	promoter-TSS (NM_138345)	-34	NM_138345	90113	Hs.584997	NM_138345	ENSG00000145198	VWA5B2	-	von Willebrand factor A domain containing 5B2	protein-coding
chr2-3	chr2	241845440	241845894	+	351.5	0.947	promoter-TSS (NM_001351305)	promoter-TSS (NM_001351305)	-86	NM_001351305	728763	Hs.647892	NM_001351305	ENSG00000226321	CROCC2	-	ciliary rootlet coiled-coil, rootletin family member 2	protein-coding
chr10-5	chr10	135075363	135075817	+	338.9	0.827	TTS (NM_001164489)	TTS (NM_001164489)	-14201	NR_108079	101927671	Hs.741766	NR_108078	ENSG00000166917	MIR202HG	-	MIR202 host gene	ncRNA
chr1-4	chr1	234778994	234779448	+	336.4	0.969	Intergenic	Intergenic	-2814	NR_125944	101927787	Hs.520658	NR_125944	ENSG00000228044	LOC101927787	-	uncharacterized LOC101927787	ncRNA
chr1-5	chr1	20769425	20769879	+	333.9	0.971	Intergenic	Intergenic	-14365	NR_033887	339505	Hs.633269	NR_033887		LINC01141	-	long intergenic non-protein coding RNA 1141	ncRNA
chr17-2	chr17	7257506	7257960	+	320.0	0.774	promoter-TSS (NM_198154)	promoter-TSS (NM_198154)	-742	NM_001320435	339168	Hs.259432	NM_198154	ENSG00000182896	TMEM95	UNQ9390	transmembrane protein 95	protein-coding
chr17-3	chr17	19670188	19670642	+	318.7	0.954	Intergenic	Intergenic	-18804	NM_001330150	218	Hs.531682	NM_000691	ENSG00000108602	ALDH3A1	ALDH3|ALDHIII	aldehyde dehydrogenase 3 family member A1	protein-coding
chr11-1	chr11	60637680	60638134	+	315.0	0.978	exon (NM_207341, exon 4 of 12)	exon (NM_207341, exon 4 of 12)	2892	NM_207341	22917	Hs.172130	NM_207341	ENSG00000149506	ZP1	HEL163|OOMD|OOMD1	zona pellucida glycoprotein 1	protein-coding
chr16-4	chr16	84029278	84029732	+	306.1	0.920	intron (NM_001329748, intron 8 of 11)	CpG	27252	NM_001329749	54550	Hs.140950	NM_019065	ENSG00000103154	NECAB2	EFCBP2|stip-2	N-terminal EF-hand calcium binding protein 2	protein-coding
chr7-3	chr7	35077039	35077493	+	301.1	0.968	promoter-TSS (NM_001366673)	promoter-TSS (NM_001366673)	-169	NM_001366673	23333	Hs.408623	NM_015283	ENSG00000173852	DPY19L1	-	dpy-19 like C-mannosyltransferase 1	protein-coding
chr1-6	chr1	1051545	1051999	+	299.8	0.969	promoter-TSS (NM_001363525)	promoter-TSS (NM_001363525)	-303	NM_001363525	54991	Hs.235095	NM_017891	ENSG00000131591	C1orf159	-	chromosome 1 open reading frame 159	protein-coding
chr4-2	chr4	8012319	8012773	+	299.8	0.963	intron (NM_032432, intron 11 of 15)	intron (NM_032432, intron 11 of 15)	-5438	NR_029511	407052		NR_029511	ENSG00000207807	MIR95	MIRN95|hsa-mir-95|miR-95	microRNA 95	ncRNA
chr3-6	chr3	69101324	69101778	+	299.8	0.984	promoter-TSS (NM_007114)	promoter-TSS (NM_007114)	-67	NM_007114	7110	Hs.267632	NM_007114	ENSG00000144747	TMF1	ARA160|TMF	TATA element modulatory factor 1	protein-coding
chr9-2	chr9	86881023	86881477	+	294.8	0.908	Intergenic	Intergenic	74423	NM_001199633	64078	Hs.535966	NM_022127	ENSG00000197506	SLC28A3	CNT3	solute carrier family 28 member 3	protein-coding
chr22-1	chr22	23487275	23487729	+	294.8	0.914	promoter-TSS (NM_001349877)	promoter-TSS (NM_001349877)	-9	NM_001349878	9609	Hs.353024	NM_004914	ENSG00000100228	RAB36	-	RAB36, member RAS oncogene family	protein-coding
chr19-9	chr19	58951462	58951916	+	292.3	0.955	promoter-TSS (NM_003433)	promoter-TSS (NM_003433)	-169	NM_003433	7691	Hs.156169	NM_003433	ENSG00000131849	ZNF132	pHZ-12	zinc finger protein 132	protein-coding
chr7-2	chr7	12726056	12726510	+	292.3	0.834	promoter-TSS (NM_005738)	promoter-TSS (NM_005738)	-169	NM_212460	10124	Hs.245540	NM_005738	ENSG00000122644	ARL4A	ARL4	ADP ribosylation factor like GTPase 4A	protein-coding
chr4-1	chr4	25915616	25916070	+	291.0	0.967	promoter-TSS (NM_001145432)	promoter-TSS (NM_001145432)	29	NM_001145432	389203	Hs.479386	NM_001145432	ENSG00000250317	SMIM20	C4orf52|MITRAC7|PNX	small integral membrane protein 20	protein-coding
chr14-2	chr14	21555521	21555975	+	288.5	0.852	intron (NM_018071, intron 21 of 23)	intron (NM_018071, intron 21 of 23)	11066	NM_016423	51222	Hs.250493	NM_016423	ENSG00000165804	ZNF219	ZFP219	zinc finger protein 219	protein-coding
chr2-7	chr2	153093119	153093573	+	286.0	0.967	Intergenic	Intergenic	-61069	NM_005843	10254	Hs.17200	NM_005843	ENSG00000115145	STAM2	Hbp|STAM2A|STAM2B	signal transducing adaptor molecule 2	protein-coding
chr2-5	chr2	214148905	214149359	+	284.7	0.860	promoter-TSS (NR_047659)	promoter-TSS (NR_047659)	29	NM_001025436	79582	Hs.743365	NM_024532	ENSG00000144451	SPAG16	PF20|WDR29	sperm associated antigen 16	protein-coding
chr8-1	chr8	11486104	11486558	+	284.7	0.963	Intergenic	Intergenic	-48113	NM_001308094	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
chr9-1	chr9	93835346	93835800	+	274.6	0.762	intron (NR_033912, intron 1 of 3)	intron (NR_033912, intron 1 of 3)	1841	NR_033912	100129316	Hs.458154	NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
chr11-2	chr11	19885689	19886143	+	272.1	0.922	intron (NM_001244963, intron 3 of 39)	intron (NM_001244963, intron 3 of 39)	-104287	NR_039843	100616426		NR_039843	ENSG00000264309	MIR4694	-	microRNA 4694	ncRNA
chr18-1	chr18	47099258	47099712	+	270.9	0.982	intron (NM_001308006, intron 4 of 8)	intron (NM_001308006, intron 4 of 8)	11058	NM_006033	9388	Hs.465102	NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
chr7-5	chr7	43908824	43909278	+	269.6	0.969	promoter-TSS (NM_032014)	promoter-TSS (NM_032014)	65	NM_032014	64951	Hs.284286	NM_032014	ENSG00000062582	MRPS24	HSPC335|MRP-S24|S24mt|bMRP-47|bMRP47	mitochondrial ribosomal protein S24	protein-coding
chr19-7	chr19	18539909	18540363	+	265.8	0.921	intron (NM_001009998, intron 4 of 16)	CpG	7983	NM_001253389	51477	Hs.405873	NM_016368	ENSG00000105655	ISYNA1	INO1|INOS|IPS|IPS 1|IPS-1	inositol-3-phosphate synthase 1	protein-coding
chr7-4	chr7	100273048	100273502	+	264.6	0.919	intron (NM_005273, intron 1 of 9)	CpG	1912	NM_005273	2783	Hs.185172	NM_005273	ENSG00000172354	GNB2	-	G protein subunit beta 2	protein-coding
chr2-6	chr2	240206232	240206686	+	264.6	0.956	intron (NM_006037, intron 2 of 26)	intron (NM_006037, intron 2 of 26)	-20698	NR_036229	100423043		NR_036229	ENSG00000265215	MIR4269	-	microRNA 4269	ncRNA
chr1-8	chr1	155164487	155164941	+	264.6	0.946	promoter-TSS (NR_030281)	promoter-TSS (NR_030281)	-254	NR_030281	693235		NR_030281	ENSG00000284586	MIR92B	MIRN92B|hsa-mir-92b|mir-92b	microRNA 92b	ncRNA
chr12-2	chr12	104680459	104680913	+	258.3	0.964	promoter-TSS (NM_003330)	promoter-TSS (NM_003330)	-124	NM_182729	7296	Hs.654922	NM_003330	ENSG00000198431	TXNRD1	GRIM-12|TR|TR1|TRXR1|TXNR	thioredoxin reductase 1	protein-coding
chr19-8	chr19	46457408	46457862	+	258.3	0.831	intron (NM_002516, intron 2 of 3)	intron (NM_002516, intron 2 of 3)	19488	NM_002516	4858	Hs.375439	NM_002516	ENSG00000104967	NOVA2	ANOVA|NOVA3	NOVA alternative splicing regulator 2	protein-coding
chr9-3	chr9	97488743	97489197	+	258.3	0.963	promoter-TSS (NM_032823)	promoter-TSS (NM_032823)	-11	NM_001193331	84909	Hs.434253	NM_032823	ENSG00000148120	AOPEP	AP-O|APO|C90RF3|C9orf3|ONPEP	aminopeptidase O (putative)	protein-coding
chr5-1	chr5	134827421	134827875	+	257.0	0.972	Intergenic	Intergenic	-39607	NM_001099221	497189	Hs.552091	NM_001099221	ENSG00000255833	TIFAB	-	TIFA inhibitor	protein-coding
chr22-2	chr22	38638930	38639384	+	255.7	0.905	intron (NM_001195071, intron 3 of 8)	intron (NM_001195071, intron 3 of 8)	-18430	NR_132774	106635525		NR_132774		SNORA92	-	small nucleolar RNA, H/ACA box 92	snoRNA
chr14-4	chr14	77386296	77386750	+	254.5	0.959	Intergenic	Intergenic	-39458	NR_133913	105370578	Hs.574184	NR_133913	ENSG00000258602	LINC01629	linc-KIAA1737-2	long intergenic non-protein coding RNA 1629	ncRNA
chr13-1	chr13	24554211	24554665	+	250.7	0.945	intron (NM_001286792, intron 1 of 14)	intron (NM_001286792, intron 1 of 14)	497	NM_001286792	221178	Hs.434298	NM_153023	ENSG00000182957	SPATA13	ARHGEF29|ASEF2	spermatogenesis associated 13	protein-coding
chr14-3	chr14	75743673	75744127	+	250.7	0.944	Intergenic	CpG	-1631	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
chr1-7	chr1	23000328	23000782	+	246.9	0.838	Intergenic	Intergenic	20826	NM_001371184								
chr8-2	chr8	102803029	102803483	+	241.9	0.901	promoter-TSS (NM_032041)	promoter-TSS (NM_032041)	-59	NM_032041	83988	Hs.492427	NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
chr16-5	chr16	1217358	1217812	+	241.9	0.865	intron (NM_001005407, intron 2 of 33)	intron (NM_001005407, intron 2 of 33)	14344	NM_001005407	8912	Hs.459642	NM_021098	ENSG00000196557	CACNA1H	CACNA1HB|Cav3.2|ECA6|EIG6|HALD4	calcium voltage-gated channel subunit alpha1 H	protein-coding
chr19-10	chr19	54683602	54684056	+	239.4	0.752	intron (NM_024298, intron 6 of 7)	intron (NM_024298, intron 6 of 7)	-6975	NM_144686	147798	Hs.355126	NM_144686	ENSG00000167608	TMC4	-	transmembrane channel like 4	protein-coding
chr22-3	chr22	38452883	38453337	+	236.8	0.980	promoter-TSS (NM_012407)	promoter-TSS (NM_012407)	-152	NM_001039583	9463	Hs.180871	NM_012407	ENSG00000100151	PICK1	PICK|PRKCABP	protein interacting with PRKCA 1	protein-coding
chr6-6	chr6	112408541	112408995	+	236.8	0.863	promoter-TSS (NM_016262)	promoter-TSS (NM_016262)	-26	NM_001033564	619208	Hs.591340	NM_001033564	ENSG00000203778	FAM229B	C6orf225	family with sequence similarity 229 member B	protein-coding
chr3-7	chr3	49572536	49572990	+	235.6	0.949	3' UTR (NM_001177644, exon 3 of 3)	3' UTR (NM_001177644, exon 3 of 3)	19036	NR_038866	100132677	Hs.435651	NR_038866	ENSG00000226913	BSN-DT	BSN-AS2	BSN divergent transcript	ncRNA
chr17-4	chr17	41132319	41132773	+	235.6	0.975	promoter-TSS (NM_001261430)	promoter-TSS (NM_001261430)	-1	NM_001261430	100885848	Hs.317403	NM_001142653	ENSG00000267060	PTGES3L	-	prostaglandin E synthase 3 like	protein-coding
chr20-2	chr20	14122832	14123286	+	234.3	0.969	intron (NM_001351661, intron 3 of 17)	intron (NM_001351661, intron 3 of 17)	146897	NM_001351663	140733	Hs.661576	NM_080676	ENSG00000172264	MACROD2	C20orf133|C2orf133	mono-ADP ribosylhydrolase 2	protein-coding
chr14-6	chr14	23388244	23388698	+	234.3	0.929	promoter-TSS (NM_001077352)	promoter-TSS (NM_001077352)	-113	NM_001352763	55147	Hs.4997	NM_018107	ENSG00000100461	RBM23	CAPERbeta|PP239|RNPC4	RNA binding motif protein 23	protein-coding
chr17-5	chr17	48643151	48643605	+	233.1	0.786	intron (NR_046058, intron 1 of 33)	intron (NR_046058, intron 1 of 33)	-3909	NR_038439	253962	Hs.558704	NR_038439	ENSG00000250107	CACNA1G-AS1	CAS1	CACNA1G antisense RNA 1	ncRNA
chr3-8	chr3	39148955	39149409	+	233.1	0.966	promoter-TSS (NM_001366899)	promoter-TSS (NM_001366899)	11	NR_159494	199223	Hs.443935	NM_145755	ENSG00000168026	TTC21A	IFT139A|SPGF37|STI2	tetratricopeptide repeat domain 21A	protein-coding
chr2-9	chr2	11510684	11511138	+	233.1	0.946	Intergenic	MIRb|SINE|MIR	-23196	NR_047499	100874055	Hs.102428	NR_047499	ENSG00000224177	LINC00570	ncRNA-a5	long intergenic non-protein coding RNA 570	ncRNA
chr14-5	chr14	75725499	75725953	+	233.1	0.792	Intergenic	Intergenic	-19805	NM_005252	2353	Hs.25647	NM_005252	ENSG00000170345	FOS	AP-1|C-FOS|p55	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding
chr13-2	chr13	105812083	105812537	+	229.3	0.984	Intergenic	Intergenic	-305906	NM_001161814	267012	Hs.381382	NM_172370	ENSG00000182346	DAOA	LG72|SG72	D-amino acid oxidase activator	protein-coding
chr11-3	chr11	60466729	60467183	+	229.3	0.964	promoter-TSS (NM_031457)	promoter-TSS (NM_031457)	-129	NM_031457	83661	Hs.150878	NM_031457	ENSG00000166959	MS4A8	4SPAN4|CD20L5|MS4A4|MS4A8B	membrane spanning 4-domains A8	protein-coding
chr8-3	chr8	110620099	110620553	+	229.3	0.963	promoter-TSS (NM_001330596)	promoter-TSS (NM_001330596)	-35	NM_001330596	55638	Hs.390738	NM_017786	ENSG00000147642	SYBU	GOLSYN|OCSYN|SNPHL	syntabulin	protein-coding
chr17-6	chr17	39822441	39822895	+	228.0	0.955	Intergenic	Intergenic	-22469	NM_005801	10209	Hs.150580	NM_005801	ENSG00000173812	EIF1	A121|EIF-1|EIF1A|ISO1|SUI1	eukaryotic translation initiation factor 1	protein-coding
chr11-4	chr11	2691279	2691733	+	226.8	0.947	non-coding (NR_002728, exon 1 of 1)	non-coding (NR_002728, exon 1 of 1)	29722	NR_002728	10984	Hs.604823	NR_002728	ENSG00000269821	KCNQ1OT1	KCNQ1-AS2|KCNQ10T1|Kncq1|KvDMR1|KvLQT1-AS|LIT1|NCRNA00012	KCNQ1 opposite strand/antisense transcript 1	ncRNA
chr18-4	chr18	32621029	32621483	+	226.8	0.968	promoter-TSS (NM_014268)	promoter-TSS (NM_014268)	-121	NM_001256420	10982	Hs.532824	NM_014268	ENSG00000166974	MAPRE2	CSCSC2|EB1|EB2|RP1	microtubule associated protein RP/EB family member 2	protein-coding
chr17-7	chr17	41170250	41170704	+	225.5	0.920	intron (NM_006373, intron 2 of 5)	intron (NM_006373, intron 2 of 5)	3925	NM_006373	10493	Hs.514199	NM_006373	ENSG00000108828	VAT1	VATI	vesicle amine transport 1	protein-coding
chr1-9	chr1	55455086	55455540	+	224.3	0.968	intron (NM_182532, intron 2 of 2)	intron (NM_182532, intron 2 of 2)	9012	NM_182532	199964	Hs.663950	NM_182532	ENSG00000143001	TMEM61	-	transmembrane protein 61	protein-coding
chr19-11	chr19	11616407	11616861	+	224.3	0.952	promoter-TSS (NM_138783)	promoter-TSS (NM_138783)	20	NM_138783	115950	Hs.465928	NM_138783	ENSG00000161914	ZNF653	E430039K05Rik|ZIP67	zinc finger protein 653	protein-coding
chrX-1	chrX	71475196	71475650	+	223.0	0.968	intron (NM_001170747, intron 3 of 3)	intron (NM_001170747, intron 3 of 3)	-16546	NM_017669	54821	Hs.47558	NM_017669	ENSG00000186871	ERCC6L	PICH|RAD26L	ERCC excision repair 6 like, spindle assembly checkpoint helicase	protein-coding
chr1-10	chr1	201672034	201672488	+	220.5	0.979	intron (NR_046696, intron 2 of 2)	intron (NR_046696, intron 2 of 2)	-16375	NR_049823	100847050		NR_049823	ENSG00000264802	MIR5191	-	microRNA 5191	ncRNA
chr11-5	chr11	118122909	118123363	+	219.2	0.947	promoter-TSS (NM_001286152)	promoter-TSS (NM_001286152)	-53	NR_104404	196264	Hs.15396	NM_198275	ENSG00000160588	MPZL3	-	myelin protein zero like 3	protein-coding
chr3-11	chr3	45883411	45883865	+	219.2	0.967	promoter-TSS (NR_075080)	promoter-TSS (NR_075080)	-27	NR_075080	54585	Hs.30824	NM_020347	ENSG00000163818	LZTFL1	BBS17	leucine zipper transcription factor like 1	protein-coding
chr2-8	chr2	227921968	227922422	+	219.2	0.957	exon (NM_000092, exon 29 of 48)	exon (NM_000092, exon 29 of 48)	107080	NM_000092	1286	Hs.591645	NM_000092	ENSG00000081052	COL4A4	ATS2|BFH|CA44	collagen type IV alpha 4 chain	protein-coding
chr20-1	chr20	10015406	10015860	+	218.0	0.952	promoter-TSS (NM_001303472)	promoter-TSS (NM_001303472)	-2	NM_022096	63926	Hs.70903	NM_022096	ENSG00000132623	ANKEF1	ANKRD5	ankyrin repeat and EF-hand domain containing 1	protein-coding
chr19-12	chr19	16308715	16309169	+	216.7	0.834	intron (NM_001130524, intron 1 of 12)	CpG	220	NM_001130524	8907	Hs.71040	NM_032493	ENSG00000072958	AP1M1	AP47|CLAPM2|CLTNM|MU-1A	adaptor related protein complex 1 subunit mu 1	protein-coding
chr7-6	chr7	82188693	82189147	+	214.2	0.949	Intergenic	Intergenic	-115648	NM_001366867	781	Hs.282151	NM_000722	ENSG00000153956	CACNA2D1	CACNA2|CACNL2A|CCHL2A|LINC01112|lncRNA-N3	calcium voltage-gated channel auxiliary subunit alpha2delta 1	protein-coding
chr10-9	chr10	95205314	95205768	+	214.2	0.973	intron (NM_013451, intron 3 of 53)	intron (NM_013451, intron 3 of 53)	36550	NM_013451	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
chr10-8	chr10	30130812	30131266	+	212.9	0.923	Intergenic	Intergenic	-105174	NM_001323599	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
chr9-6	chr9	138743540	138743994	+	212.9	0.932	intron (NM_015447, intron 5 of 16)	intron (NM_015447, intron 5 of 16)	55625	NM_015447	157922	Hs.522493	NM_015447	ENSG00000130559	CAMSAP1	-	calmodulin regulated spectrin associated protein 1	protein-coding
chr18-2	chr18	35030333	35030787	+	212.9	0.963	intron (NM_001353710, intron 2 of 12)	intron (NM_001353710, intron 2 of 12)	15907	NR_132967	106635546		NR_132967		SNORA111	-	small nucleolar RNA, H/ACA box 111	snoRNA
chr9-4	chr9	130555581	130556035	+	211.7	0.972	Intergenic	Intergenic	7495	NM_001261	1025	Hs.150423	NM_001261	ENSG00000136807	CDK9	C-2k|CDC2L4|CTK1|PITALRE|TAK	cyclin dependent kinase 9	protein-coding
chr19-14	chr19	18058560	18059014	+	210.4	0.734	Intergenic	CpG	-3324	NM_002248	3780	Hs.158173	NM_002248	ENSG00000105642	KCNN1	KCa2.1|SK1|SKCA1|hSK1	potassium calcium-activated channel subfamily N member 1	protein-coding
chr17-8	chr17	76348771	76349225	+	210.4	0.957	Intergenic	CpG	7162	NM_003955	9021	Hs.527973	NM_003955	ENSG00000184557	SOCS3	ATOD4|CIS3|Cish3|SOCS-3|SSI-3|SSI3	suppressor of cytokine signaling 3	protein-coding
chr7-7	chr7	100087409	100087863	+	210.4	0.931	intron (NM_173564, intron 4 of 6)	intron (NM_173564, intron 4 of 6)	6086	NM_173564	222950	Hs.320086	NM_173564	ENSG00000166924	NYAP1	C7orf51	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	protein-coding
chr18-3	chr18	46194113	46194567	+	209.1	0.950	intron (NM_014772, intron 5 of 11)	intron (NM_014772, intron 5 of 11)	-2631	NR_039897	100616366		NR_039897	ENSG00000266276	MIR4743	-	microRNA 4743	ncRNA
chr22-4	chr22	40363363	40363817	+	209.1	0.959	intron (NM_004810, intron 5 of 7)	intron (NM_004810, intron 5 of 7)	20769	NM_001291825	9402	Hs.517499	NM_004810	ENSG00000100351	GRAP2	GADS|GRAP-2|GRB2L|GRBLG|GRID|GRPL|GrbX|Grf40|Mona|P38	GRB2 related adaptor protein 2	protein-coding
chr16-7	chr16	1480730	1481184	+	209.1	0.921	5' UTR (NM_001365310, exon 1 of 2)	5' UTR (NM_001365310, exon 1 of 2)	2137	NM_001365310	105371045		NM_001365310	ENSG00000284395	LOC105371045	gs104	uncharacterized LOC105371045	protein-coding
