PeakID (cmd=annotatePeaks.pl HIOE_NEUROD1/HIOE_NEUROD1_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr14-1	chr14	105347877	105348205	+	28.8	0.773	intron (NM_001112726, intron 6 of 18)	intron (NM_001112726, intron 6 of 18)	16390	NR_162135	113219454		NR_162135		MIR12121	-	microRNA 12121	ncRNA
chr17-8	chr17	72329064	72329392	+	28.8	0.884	intron (NM_153209, intron 2 of 19)	intron (NM_153209, intron 2 of 19)	6863	NM_153209	124602	Hs.372773	NM_153209	ENSG00000196169	KIF19	KIF19A	kinesin family member 19	protein-coding
chr21-3	chr21	9825777	9826105	+	28.3	0.750	promoter-TSS (NR_162111)	promoter-TSS (NR_162111)	109	NR_128711	103504731		NR_128711	ENSG00000264462	MIR3648-2	hsa-mir-3648-2	microRNA 3648-2	ncRNA
chrY-3	chrY	13842552	13842880	+	28.3	0.915	Intergenic	(GAATG)n|Satellite|Satellite	690673	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr7-7	chr7	150784896	150785224	+	28.3	0.848	intron (NM_001350103, intron 1 of 18)	intron (NM_001350103, intron 1 of 18)	1498	NM_001308304	116988	Hs.647075	NM_031946	ENSG00000133612	AGAP3	AGAP-3|CENTG3|CRAG|MRIP-1|cnt-g3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	protein-coding
chr1-11	chr1	55455150	55455478	+	28.3	0.761	intron (NM_182532, intron 2 of 2)	intron (NM_182532, intron 2 of 2)	9013	NM_182532	199964	Hs.663950	NM_182532	ENSG00000143001	TMEM61	-	transmembrane protein 61	protein-coding
chr12-1	chr12	122461751	122462079	+	28.3	0.871	intron (NM_020993, intron 1 of 5)	intron (NM_020993, intron 1 of 5)	2125	NM_020993	605	Hs.530970	NM_020993	ENSG00000110987	BCL7A	BCL7	BAF chromatin remodeling complex subunit BCL7A	protein-coding
chr1-12	chr1	1234290	1234618	+	28.3	0.875	intron (NM_030649, intron 10 of 23)	intron (NM_030649, intron 10 of 23)	-2904	NR_106784	102465434		NR_106784	ENSG00000278073	MIR6726	hsa-mir-6726	microRNA 6726	ncRNA
chr6-3	chr6	36742172	36742500	+	27.8	0.871	intron (NM_020939, intron 10 of 20)	intron (NM_020939, intron 10 of 20)	-17150	NM_001314018	57699	Hs.372129	NM_020939	ENSG00000124772	CPNE5	COPN5|CPN5	copine 5	protein-coding
chr13-1	chr13	113645216	113645544	+	27.8	0.836	intron (NM_001320816, intron 1 of 29)	intron (NM_001320816, intron 1 of 29)	-10648	NM_001320815	23263	Hs.170422	NM_024979	ENSG00000126217	MCF2L	ARHGEF14|DBS|OST	MCF.2 cell line derived transforming sequence like	protein-coding
chr4-4	chr4	90166603	90166931	+	27.3	0.915	3' UTR (NM_198281, exon 2 of 2)	3' UTR (NM_198281, exon 2 of 2)	62184	NM_198281	285513	Hs.100912	NM_198281	ENSG00000185477	GPRIN3	GRIN3	GPRIN family member 3	protein-coding
chr14-2	chr14	104061726	104062054	+	27.3	0.902	Intergenic	Intergenic	32593	NM_001302652	84334	Hs.598441	NM_001302652	ENSG00000256053	COA8	APOP|APOP1|APOPT1|C14orf153	cytochrome c oxidase assembly factor 8	protein-coding
chr4-3	chr4	121670612	121670940	+	27.3	0.862	intron (NM_001300824, intron 12 of 13)	L1MCc|LINE|L1	173245	NM_001300824	11107	Hs.666782	NM_018699	ENSG00000138738	PRDM5	BCS2|PFM2	PR/SET domain 5	protein-coding
chr16-21	chr16	33238912	33239240	+	27.3	0.696	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-7494	NR_158162	105369266		NR_158162		LOC105369266	-	uncharacterized LOC105369266	ncRNA
chr22-4	chr22	49458304	49458632	+	27.3	0.759	Intergenic	Intergenic	195886	NR_038944	100128946	Hs.535676	NR_038944	ENSG00000205632	LINC01310	WI2-81516E3.1	long intergenic non-protein coding RNA 1310	ncRNA
chrUn_gl000216-1	chrUn_gl000216	163400	163728	+	26.8	0.929	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr11-6	chr11	66092768	66093096	+	26.8	0.875	Intergenic	Intergenic	-8417	NM_020404	57124	Hs.195727	NM_020404	ENSG00000174807	CD248	CD164L1|TEM1	CD248 molecule	protein-coding
chr16-23	chr16	2200652	2200980	+	26.8	0.833	intron (NM_014353, intron 2 of 8)	intron (NM_014353, intron 2 of 8)	2190	NM_014353	25837	Hs.3797	NM_014353	ENSG00000167964	RAB26	V46133	RAB26, member RAS oncogene family	protein-coding
chr2-9	chr2	16029876	16030204	+	26.3	0.754	Intergenic	Intergenic	-30481	NR_125783	103752554	Hs.269571	NR_125783	ENSG00000223850	MYCNUT	MYCNUN|lncUSMycN	MYCN upstream transcript	ncRNA
chr1-14	chr1	203085298	203085626	+	26.3	0.787	Intergenic	Intergenic	-11392	NM_001365065	134	Hs.77867	NM_000674	ENSG00000163485	ADORA1	RDC7	adenosine A1 receptor	protein-coding
chr19-9	chr19	38548685	38549013	+	26.3	0.831	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-104887	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
chr16-26	chr16	90055889	90056217	+	25.8	0.864	intron (NR_003228, intron 7 of 12)	intron (NR_003228, intron 7 of 12)	-16813	NM_145039	92806	Hs.513832	NM_145039	ENSG00000177946	CENPBD1	-	CENPB DNA-binding domain containing 1	protein-coding
chr20-1	chr20	60931137	60931465	+	25.8	0.845	non-coding (NR_109922, exon 3 of 3)	non-coding (NR_109922, exon 3 of 3)	3235	NR_109922	101928158	Hs.473256	NR_109922	ENSG00000228812	LAMA5-AS1	-	LAMA5 antisense RNA 1	ncRNA
chr17-11	chr17	7792400	7792728	+	25.8	0.911	intron (NM_001005273, intron 1 of 39)	intron (NM_001005273, intron 1 of 39)	395	NM_001005273	1107	Hs.25601	NM_005852	ENSG00000170004	CHD3	Mi-2a|Mi2-ALPHA|SNIBCPS|ZFH	chromodomain helicase DNA binding protein 3	protein-coding
chr6-4	chr6	160754831	160755159	+	25.8	0.789	Intergenic	Intergenic	-14415	NM_021977	6581	Hs.567337	NM_021977	ENSG00000146477	SLC22A3	EMT|EMTH|OCT3	solute carrier family 22 member 3	protein-coding
chr19-7	chr19	41197189	41197517	+	25.8	0.766	promoter-TSS (NM_004756)	promoter-TSS (NM_004756)	-797	NM_004756	9253	Hs.326953	NM_004756	ENSG00000105245	NUMBL	CAG3A|CTG3a|NBL|NUMB-R|NUMBLIKE|NUMBR|TNRC23	NUMB like endocytic adaptor protein	protein-coding
chr19-8	chr19	3387877	3388205	+	25.8	0.887	intron (NM_001245005, intron 2 of 9)	CpG	21460	NM_001245002	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
chr1-15	chr1	15796388	15796716	+	25.3	0.839	intron (NM_033440, intron 7 of 7)	intron (NM_033440, intron 7 of 7)	-6047	NM_015849	51032	Hs.631871	NM_015849	ENSG00000215704	CELA2B	ELA2B	chymotrypsin like elastase 2B	protein-coding
chr7-8	chr7	44303946	44304274	+	25.3	0.807	intron (NM_172078, intron 2 of 20)	intron (NM_172078, intron 2 of 20)	61083	NM_172080	816	Hs.351887	NM_001220	ENSG00000058404	CAMK2B	CAM2|CAMK2|CAMKB|MRD54	calcium/calmodulin dependent protein kinase II beta	protein-coding
chr11-7	chr11	66328882	66329210	+	25.3	0.789	non-coding (NR_047663, exon 17 of 21)	non-coding (NR_047663, exon 17 of 21)	7031	NM_003793	8722	Hs.11590	NM_003793	ENSG00000174080	CTSF	CATSF|CLN13	cathepsin F	protein-coding
chr4-6	chr4	80132615	80132943	+	25.3	0.889	intron (NR_038342, intron 4 of 5)	intron (NR_038342, intron 4 of 5)	114436	NM_032693	84779	Hs.676048	NM_032693	ENSG00000156269	NAA11	ARD1B|ARD2|hARD2	N(alpha)-acetyltransferase 11, NatA catalytic subunit	protein-coding
chr22-5	chr22	38392874	38393202	+	25.3	0.864	intron (NM_001301130, intron 5 of 5)	intron (NM_001301130, intron 5 of 5)	8237	NR_039759	100616146		NR_039759	ENSG00000284266	MIR4534	-	microRNA 4534	ncRNA
chr16-28	chr16	68103470	68103798	+	24.8	0.836	intron (NM_001271762, intron 9 of 15)	intron (NM_001271762, intron 9 of 15)	-15639	NM_173165	4775	Hs.436585	NM_004555	ENSG00000072736	NFATC3	NF-AT4c|NFAT4|NFATX	nuclear factor of activated T cells 3	protein-coding
chr14-3	chr14	100788280	100788608	+	24.8	0.758	Intergenic	Intergenic	-1232	NM_207117	283600	Hs.108268	NM_207117	ENSG00000140107	SLC25A47	C14orf68|HDMCP|HMFN1655	solute carrier family 25 member 47	protein-coding
chr21-4	chr21	46853742	46854070	+	24.8	0.860	intron (NM_130445, intron 2 of 42)	intron (NM_130445, intron 2 of 42)	-8921	NR_027498	378832	Hs.517353	NM_199175	ENSG00000183535	COL18A1-AS1	C21orf123|NCRNA00175|PRED80	COL18A1 antisense RNA 1	ncRNA
chr16-30	chr16	66398346	66398674	+	24.8	0.850	Intergenic	Intergenic	-2084	NM_001795	1003	Hs.76206	NM_001795	ENSG00000179776	CDH5	7B4|CD144	cadherin 5	protein-coding
chr2-11	chr2	129201953	129202281	+	24.3	0.825	Intergenic	Intergenic	-125675	NM_004807	9394	Hs.512841	NM_004807	ENSG00000136720	HS6ST1	HH15|HS6ST	heparan sulfate 6-O-sulfotransferase 1	protein-coding
chr11-11	chr11	61263493	61263821	+	24.3	0.776	Intergenic	Intergenic	-12411	NR_039708	100616470		NR_039708	ENSG00000266006	MIR4488	mir-4488	microRNA 4488	ncRNA
chr20-2	chr20	22504260	22504588	+	24.3	0.759	Intergenic	Intergenic	54856	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|FALCOR|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
chr4-5	chr4	850044	850372	+	24.3	0.567	intron (NM_005255, intron 24 of 27)	intron (NM_005255, intron 24 of 27)	-30291	NM_006651	10815	Hs.478930	NM_006651	ENSG00000168993	CPLX1	CPX-I|CPX1|EIEE63	complexin 1	protein-coding
chr17-12	chr17	39369221	39369549	+	24.3	0.793	Intergenic	Intergenic	-13515	NM_031961	83899	Hs.307013	NM_031961	ENSG00000239886	KRTAP9-2	KAP9.2|KRTAP9.2	keratin associated protein 9-2	protein-coding
chr9-1	chr9	744911	745239	+	24.3	0.828	intron (NM_001256876, intron 15 of 15)	intron (NM_001256876, intron 15 of 15)	38398	NM_001354341	23189	Hs.306764	NM_015158	ENSG00000107104	KANK1	ANKRD15|CPSQ2|KANK	KN motif and ankyrin repeat domains 1	protein-coding
chr11-8	chr11	762409	762737	+	24.3	0.855	intron (NM_006755, intron 4 of 7)	L1ME1|LINE|L1	14914	NM_001318820	347862	Hs.218362	NM_182612	ENSG00000177225	GATD1	PDDC1	glutamine amidotransferase like class 1 domain containing 1	protein-coding
chr16-27	chr16	85472874	85473202	+	24.3	0.836	Intergenic	Intergenic	-133107	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
chr8-7	chr8	143762846	143763174	+	23.8	0.762	intron (NM_005672, intron 2 of 2)	(TCCA)n|Simple_repeat|Simple_repeat	1097	NM_005672	8000	Hs.652235	NM_005672	ENSG00000167653	PSCA	PRO232	prostate stem cell antigen	protein-coding
chr17-13	chr17	78420797	78421125	+	23.8	0.811	Intergenic	Intergenic	27743	NR_039883	100616359		NR_039883	ENSG00000264961	MIR4730	-	microRNA 4730	ncRNA
chr4-7	chr4	1756203	1756531	+	23.8	0.738	Intergenic	Intergenic	33119	NM_006342	10460	Hs.104019	NM_006342	ENSG00000013810	TACC3	ERIC-1|ERIC1	transforming acidic coiled-coil containing protein 3	protein-coding
chr3-3	chr3	183947773	183948101	+	23.8	0.772	promoter-TSS (NM_138345)	promoter-TSS (NM_138345)	-204	NM_138345	90113	Hs.584997	NM_138345	ENSG00000145198	VWA5B2	-	von Willebrand factor A domain containing 5B2	protein-coding
chr8-8	chr8	143297480	143297808	+	23.8	0.656	intron (NM_001363740, intron 13 of 13)	intron (NM_001363740, intron 13 of 13)	17927	NR_024378	619434	Hs.393308	NR_024378	ENSG00000254008	LINC00051	C8orf43|NCRNA00051	long intergenic non-protein coding RNA 51	ncRNA
chr6-5	chr6	5782916	5783244	+	23.8	0.840	Intergenic	Intergenic	-87575	NR_110842	101927950	Hs.571136	NR_110842	ENSG00000270174	LOC101927950	-	uncharacterized LOC101927950	ncRNA
chr22-7	chr22	30114878	30115206	+	23.8	0.754	promoter-TSS (NM_182527)	promoter-TSS (NM_182527)	-950	NM_182527	164633	Hs.643608	NM_182527	ENSG00000100314	CABP7	CALN2	calcium binding protein 7	protein-coding
chr22-6	chr22	21401768	21402096	+	23.8	0.729	intron (NM_001291006, intron 2 of 9)	intron (NM_001291006, intron 2 of 9)	1697	NM_001291006	400891	Hs.291198	NM_001013675	ENSG00000187905	LRRC74B	-	leucine rich repeat containing 74B	protein-coding
chr9-4	chr9	138996134	138996462	+	23.3	0.796	Intergenic	Intergenic	-9163	NM_144653	138151	Hs.112895	NM_144653	ENSG00000148411	NACC2	BEND9|BTBD14|BTBD14A|BTBD31|NAC-2|RBB	NACC family member 2	protein-coding
chr20-3	chr20	20234870	20235198	+	23.3	0.885	intron (NM_015585, intron 20 of 26)	intron (NM_015585, intron 20 of 26)	-113714	NM_002196	3642	Hs.89584	NM_002196	ENSG00000173404	INSM1	IA-1|IA1	INSM transcriptional repressor 1	protein-coding
chr5-1	chr5	171212778	171213106	+	23.3	0.870	promoter-TSS (NM_001289970)	promoter-TSS (NM_001289970)	66	NM_001289970	644994	Hs.591740	NM_001289970	ENSG00000185662	SMIM23	C5orf50	small integral membrane protein 23	protein-coding
chr15-1	chr15	40361463	40361791	+	23.3	0.845	Intergenic	Intergenic	30115	NR_040061	100131089	Hs.386000	NR_040059	ENSG00000248508	SRP14-AS1	-	SRP14 antisense RNA1 (head to head)	ncRNA
chr14-4	chr14	105344816	105345144	+	23.3	0.887	intron (NM_001112726, intron 5 of 18)	intron (NM_001112726, intron 5 of 18)	13329	NR_162135	113219454		NR_162135		MIR12121	-	microRNA 12121	ncRNA
chr11-9	chr11	10947067	10947395	+	23.3	0.737	Intergenic	L2a|LINE|L2	67467	NR_034137	729013	Hs.726427	NR_034137	ENSG00000247271	ZBED5-AS1	-	ZBED5 antisense RNA 1	ncRNA
chr11-10	chr11	78790112	78790440	+	23.3	0.815	intron (NM_001098816, intron 4 of 33)	intron (NM_001098816, intron 4 of 33)	322877	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
chr10-17	chr10	89378573	89378901	+	23.3	0.772	Intergenic	L2c|LINE|L2	-40898	NM_001015880	9060	Hs.524491	NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
chr17-14	chr17	39197402	39197730	+	23.3	0.759	exon (NM_030967, exon 1 of 1)	exon (NM_030967, exon 1 of 1)	136	NM_030967	81851	Hs.247934	NM_030967	ENSG00000188581	KRTAP1-1	HB2A|KAP1.1|KAP1.1A|KAP1.1B|KAP1.6|KAP1.7|KRTAP1.1|KRTAP1A|hKAP1.7	keratin associated protein 1-1	protein-coding
chr20-4	chr20	30160858	30161186	+	23.3	0.830	promoter-TSS (NR_046853)	promoter-TSS (NR_046853)	44	NR_046853	100874042	Hs.373741	NR_046853	ENSG00000230613	HM13-AS1	-	HM13 antisense RNA 1	ncRNA
chr2-14	chr2	87623662	87623990	+	22.8	0.714	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	-131120	NR_024204	112597	Hs.652166	NR_024204	ENSG00000222041	CYTOR	C2orf59|LINC00152|NCRNA00152	cytoskeleton regulator RNA	ncRNA
