PeakID (cmd=annotatePeaks.pl HIOE_Ngn3_0.05/HIOE_Ngn3_0917input_0.05peaks.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chrY-4	chrY	13842621	13842805	+	55.4	0.936	Intergenic	(GAATG)n|Satellite|Satellite	690676	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chrUn_gl000216-1	chrUn_gl000216	163470	163654	+	54.9	0.968	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr4_gl000193_random-1	chr4_gl000193_random	86388	86572	+	50.2	0.810	intron (NR_038377, intron 1 of 5)	SST1|Satellite|centr	1895	NR_038377	441058	Hs.130535	NR_038377		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
chr16-19	chr16	46417004	46417188	+	49.5	0.581	Intergenic	HSATII|Satellite|Satellite	185913	NR_026556	124149	Hs.97414	NM_001004299		ANKRD26P1	-	ankyrin repeat domain 26 pseudogene 1	pseudo
chr2-7	chr2	162138303	162138487	+	49.4	0.691	Intergenic	Intergenic	-26541	NM_005805	10213	Hs.740477	NM_005805	ENSG00000115233	PSMD14	PAD1|POH1|RPN11	proteasome 26S subunit, non-ATPase 14	protein-coding
chr16-18	chr16	33237932	33238116	+	48.4	0.787	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-6442	NR_158162	105369266		NR_158162		LOC105369266	-	uncharacterized LOC105369266	ncRNA
chrUn_gl000212-1	chrUn_gl000212	40765	40949	+	47.4	0.969	intron (NR_027278, intron 1 of 7)	HSATI|Satellite|Satellite	16808	NR_027278	26080	Hs.448583	NR_027278	ENSG00000279516	FAM230C	LINC00281|NCRNA00281	family with sequence similarity 230 member C	ncRNA
chrX-2	chrX	61717755	61717939	+	44.5	0.982	Intergenic	ALR/Alpha|Satellite|centr	853364	NM_001012968	139886	Hs.612782	NM_001012968	ENSG00000186767	SPIN4	TDRD28	spindlin family member 4	protein-coding
chr1-3	chr1	236260524	236260708	+	43.2	0.832	Intergenic	LTR10A|LTR|ERV1	-32226	NM_002508	4811	Hs.356624	NM_002508	ENSG00000116962	NID1	NID	nidogen 1	protein-coding
chr10-21	chr10	42408207	42408391	+	41.2	0.976	Intergenic	ALR/Alpha|Satellite|centr	455194	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr2-11	chr2	162137669	162137853	+	39.7	0.960	Intergenic	Intergenic	-26607	NR_110593	101929512	Hs.666488	NR_110593		LOC101929512	-	uncharacterized LOC101929512	ncRNA
chr18-4	chr18	18518042	18518226	+	38.6	0.991	Intergenic	ALR/Alpha|Satellite|centr	173640	NM_005406	6093	Hs.306307	NM_005406	ENSG00000067900	ROCK1	P160ROCK|ROCK-I	Rho associated coiled-coil containing protein kinase 1	protein-coding
chr19_gl000208_random-1	chr19_gl000208_random	90518	90702	+	38.2	0.798	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr4_gl000193_random-2	chr4_gl000193_random	90838	91022	+	37.7	0.811	Intergenic	SST1|Satellite|centr	-2555	NR_038377	441058	Hs.130535	NR_038377		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
chr17-3	chr17	41400272	41400456	+	37.2	0.647	Intergenic	Intergenic	-19302	NR_047479	100874261	Hs.546898	NM_001363254	ENSG00000236383	CCDC200	LINC00854|TMEM106A-AS1	coiled-coil domain containing 200	protein-coding
chr2-12	chr2	90481637	90481821	+	36.4	0.819	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	1366246	NR_027238	654342	Hs.469287	NR_027238		LSP1P4	-	LSP1 pseudogene 4	pseudo
chr17-4	chr17	21906274	21906458	+	35.9	0.863	intron (NR_027084, intron 1 of 1)	SST1|Satellite|centr	2304	NR_027084	284124	Hs.310247	NR_027084	ENSG00000276399	FLJ36000	-	uncharacterized FLJ36000	ncRNA
chr2-13	chr2	92307964	92308148	+	34.7	0.963	Intergenic	ALR/Alpha|Satellite|centr	178897	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr16-24	chr16	33239014	33239198	+	34.4	0.652	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-7524	NR_158162	105369266		NR_158162		LOC105369266	-	uncharacterized LOC105369266	ncRNA
chr15-1	chr15	20546771	20546955	+	34.1	0.660	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	58866	NR_038836	646096	Hs.448789	NR_038836	ENSG00000259156	CHEK2P2	-	checkpoint kinase 2 pseudogene 2	pseudo
chr15-2	chr15	20546325	20546509	+	33.9	0.568	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	58420	NR_038836	646096	Hs.448789	NR_038836	ENSG00000259156	CHEK2P2	-	checkpoint kinase 2 pseudogene 2	pseudo
chr15-4	chr15	20547278	20547462	+	33.2	0.692	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	59373	NR_038836	646096	Hs.448789	NR_038836	ENSG00000259156	CHEK2P2	-	checkpoint kinase 2 pseudogene 2	pseudo
chr22-2	chr22	16861566	16861750	+	33.1	0.938	Intergenic	HSATII|Satellite|Satellite	212042	NM_014406	150160	Hs.128342	NM_014406	ENSG00000198445	CCT8L2	CESK1	chaperonin containing TCP1 subunit 8 like 2	protein-coding
chr1-5	chr1	121478571	121478755	+	33.1	0.948	Intergenic	ALR/Alpha|Satellite|centr	217753	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr4-2	chr4	49659525	49659709	+	32.9	0.842	Intergenic	(GAATG)n|Satellite|Satellite	670958	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chrUn_gl000225-2	chrUn_gl000225	131651	131835	+	32.6	0.934	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr15-3	chr15	21317249	21317433	+	32.2	0.747	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	108735	NR_145444	654499		NR_145444		FAM30C	HsT16041|KIAA0125P2	family with sequence similarity 30 member C	ncRNA
chr4-3	chr4	49151703	49151887	+	31.8	0.783	Intergenic	(CATTC)n|Satellite|Satellite	163136	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr8-3	chr8	43838607	43838791	+	31.3	0.975	Intergenic	ALR/Alpha|Satellite|centr	691114	NM_001005365	340441	Hs.531579	NM_001002920	ENSG00000188877	POTEA	A26A1|CT104.3|POTE-8|POTE8	POTE ankyrin domain family member A	protein-coding
chr10-24	chr10	42527953	42528137	+	31.3	0.969	Intergenic	ALR/Alpha|Satellite|centr	335448	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chr17-6	chr17	41382048	41382232	+	29.3	0.624	Intergenic	ERV3-16A3_I-int|LTR|ERVL	-1078	NR_047479	100874261	Hs.546898	NM_001363254	ENSG00000236383	CCDC200	LINC00854|TMEM106A-AS1	coiled-coil domain containing 200	protein-coding
chr17-7	chr17	21904788	21904972	+	29.1	0.861	intron (NR_027084, intron 1 of 1)	intron (NR_027084, intron 1 of 1)	818	NR_027084	284124	Hs.310247	NR_027084	ENSG00000276399	FLJ36000	-	uncharacterized FLJ36000	ncRNA
chr4-4	chr4	49110323	49110507	+	29.1	0.633	Intergenic	Intergenic	121756	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chrUn_gl000220-34	chrUn_gl000220	104177	104361	+	29.1	0.989	promoter-TSS (NR_106782).2	promoter-TSS (NR_106782).2	-463	NR_106782	102465433		NR_106782	ENSG00000275950	MIR6724-1	MIR6724|hsa-mir-6724|hsa-mir-6724-1	microRNA 6724-1	ncRNA
chrUn_gl000225-4	chrUn_gl000225	50797	50981	+	28.6	0.890	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr15-5	chr15	20307604	20307788	+	28.4	0.723	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	-180301	NR_038836	646096	Hs.448789	NR_038836	ENSG00000259156	CHEK2P2	-	checkpoint kinase 2 pseudogene 2	pseudo
chr19-5	chr19	17416216	17416400	+	28.4	0.874	promoter-TSS (NM_023937)	promoter-TSS (NM_023937)	-373	NM_023937	64981	Hs.515242	NM_023937	ENSG00000130312	MRPL34	L34mt	mitochondrial ribosomal protein L34	protein-coding
chr4-5	chr4	49516831	49517015	+	27.6	0.894	Intergenic	ACRO1|Satellite|acro	528264	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr8-6	chr8	82754602	82754786	+	25.9	0.780	promoter-TSS (NR_145472)	promoter-TSS (NR_145472)	-173	NM_022133	64089	Hs.492121	NM_022133	ENSG00000104497	SNX16	-	sorting nexin 16	protein-coding
chr2-17	chr2	92305605	92305789	+	25.6	0.835	Intergenic	ALR/Alpha|Satellite|centr	176538	NR_027714	440888	Hs.730239	NM_001032412		ACTR3BP2	FKSG73	ACTR3B pseudogene 2	pseudo
chr19_gl000208_random-3	chr19_gl000208_random	89675	89859	+	25.1	0.962	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr1-6	chr1	121355650	121355834	+	25.1	0.942	Intergenic	ALR/Alpha|Satellite|centr	94832	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
chr2-18	chr2	162138902	162139086	+	24.4	0.749	Intergenic	Intergenic	-25942	NM_005805	10213	Hs.740477	NM_005805	ENSG00000115233	PSMD14	PAD1|POH1|RPN11	proteasome 26S subunit, non-ATPase 14	protein-coding
chr1-7	chr1	110662611	110662795	+	24.3	0.830	Intergenic	Intergenic	7638	NM_203412	164153	Hs.374027	NM_203412	ENSG00000186150	UBL4B	-	ubiquitin like 4B	protein-coding
chrUn_gl000220-35	chrUn_gl000220	101659	101843	+	24.3	0.913	intron (NR_038958, intron 2 of 6)	CpG	-2981	NR_106782	102465433		NR_106782	ENSG00000275950	MIR6724-1	MIR6724|hsa-mir-6724|hsa-mir-6724-1	microRNA 6724-1	ncRNA
chr2-19	chr2	87655605	87655789	+	23.9	0.727	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	-99249	NR_146461	112597	Hs.652166	NR_024204	ENSG00000222041	CYTOR	C2orf59|LINC00152|NCRNA00152	cytoskeleton regulator RNA	ncRNA
chr8-9	chr8	46842154	46842338	+	23.9	0.986	Intergenic	ALR/Alpha|Satellite|centr	687019	NR_146077	389652		NR_146077	ENSG00000248498	ASNSP1	ASNSL1	asparagine synthetase pseudogene 1	pseudo
chr2-20	chr2	162136712	162136896	+	23.6	0.814	Intergenic	MER21B|LTR|ERVL	-25650	NR_110593	101929512	Hs.666488	NR_110593		LOC101929512	-	uncharacterized LOC101929512	ncRNA
chr8-7	chr8	46852390	46852574	+	23.3	0.924	Intergenic	ALR/Alpha|Satellite|centr	676783	NR_146077	389652		NR_146077	ENSG00000248498	ASNSP1	ASNSL1	asparagine synthetase pseudogene 1	pseudo
chr8-8	chr8	144940501	144940685	+	22.8	0.697	exon (NM_031308, exon 2 of 3)	exon (NM_031308, exon 2 of 3)	12039	NM_031308	83481	Hs.200412	NM_031308	ENSG00000261150	EPPK1	EPIPL|EPIPL1	epiplakin 1	protein-coding
chr1-9	chr1	2629145	2629329	+	22.6	0.839	intron (NM_001242672, intron 5 of 7)	intron (NM_001242672, intron 5 of 7)	-64782	NM_033467	79258	Hs.591453	NM_033467	ENSG00000142606	MMEL1	MMEL2|NEP2|NEPII|NL1|NL2|SEP	membrane metalloendopeptidase like 1	protein-coding
chr8-10	chr8	29630950	29631134	+	21.8	0.811	intron (NR_125815, intron 1 of 3)	intron (NR_125815, intron 1 of 3)	25217	NR_125814	101929450	Hs.512440	NR_125814	ENSG00000253490	LINC02099	-	long intergenic non-protein coding RNA 2099	ncRNA
chrUn_gl000225-5	chrUn_gl000225	67455	67639	+	21.8	0.914	NA	BSR/Beta|Satellite|Satellite	NA	NA								
chr6-6	chr6	167823454	167823638	+	21.3	0.703	Intergenic	Intergenic	-25548	NR_163196	6953	Hs.351	NM_004610	ENSG00000203690	TCP10	TCP10A	t-complex 10	pseudo
chr10-28	chr10	39138074	39138258	+	21.3	0.920	Intergenic	(GAATG)n|Satellite|Satellite	148439	NR_045000	399746	Hs.742607	NR_045000		ACTR3BP5	FKSG74	ACTR3B pseudogene 5	pseudo
chr11-2	chr11	51572044	51572228	+	20.9	0.940	Intergenic	ALR/Alpha|Satellite|centr	56854	NM_001004703	119749	Hs.553564	NM_001004703	ENSG00000185926	OR4C46	-	olfactory receptor family 4 subfamily C member 46	protein-coding
chr4-6	chr4	49107368	49107552	+	20.3	0.917	Intergenic	(CATTC)n|Satellite|Satellite	118801	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr17-11	chr17	22259987	22260171	+	20.1	0.938	Intergenic	ALR/Alpha|Satellite|centr	237642	NM_001190452	100462977	Hs.740185	NM_001190452	ENSG00000256618	MTRNR2L1	HN1	MT-RNR2 like 1	protein-coding
chr9_gl000199_random-9	chr9_gl000199_random	138003	138187	+	19.9	0.976	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr4_gl000193_random-3	chr4_gl000193_random	88650	88834	+	19.8	0.905	promoter-TSS (NR_038377)	promoter-TSS (NR_038377)	-367	NR_038377	441058	Hs.130535	NR_038377		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
chr9_gl000199_random-8	chr9_gl000199_random	98879	99063	+	19.8	0.960	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr4-8	chr4	184644420	184644604	+	19.4	0.804	Intergenic	Intergenic	64066	NM_021942	60684	Hs.443240	NM_021942	ENSG00000168538	TRAPPC11	C4orf41|FOIGR|GRY|LGMD2S|LGMDR18	trafficking protein particle complex 11	protein-coding
chr1-11	chr1	2585494	2585678	+	19.4	0.624	intron (NM_001242672, intron 5 of 7)	intron (NM_001242672, intron 5 of 7)	-21131	NM_033467	79258	Hs.591453	NM_033467	ENSG00000142606	MMEL1	MMEL2|NEP2|NEPII|NL1|NL2|SEP	membrane metalloendopeptidase like 1	protein-coding
chr17-9	chr17	25265057	25265241	+	19.1	0.693	Intergenic	(GAATG)n|Satellite|Satellite	151118	NR_135673	105371703	Hs.649918	NR_135673		LOC105371703	-	uncharacterized LOC105371703	ncRNA
chr8-11	chr8	124934376	124934560	+	19.1	0.857	intron (NM_001039112, intron 1 of 40)	intron (NM_001039112, intron 1 of 40)	70241	NM_001039112	654463	Hs.632058	NM_001039112	ENSG00000214814	FER1L6	C8ORFK23	fer-1 like family member 6	protein-coding
chr2-23	chr2	89875218	89875402	+	19.0	0.894	Intergenic	(GAATG)n|Satellite|Satellite	763426	NR_039635	100616399		NR_039635	ENSG00000265510	MIR4436A	mir-4436a	microRNA 4436a	ncRNA
chr19_gl000208_random-4	chr19_gl000208_random	91526	91710	+	18.8	0.791	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr10-29	chr10	42364673	42364857	+	18.6	0.872	Intergenic	(CATTC)n|Satellite|Satellite	498728	NR_024380	441666	Hs.255729	NR_024380	ENSG00000215146	LOC441666	-	zinc finger protein 91 pseudogene	pseudo
chrY-10	chrY	13680887	13681071	+	18.6	0.957	Intergenic	(GAATG)n|Satellite|Satellite	852410	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr4-7	chr4	49109673	49109857	+	18.5	0.727	Intergenic	(CATTC)n|Satellite|Satellite	121106	NM_001286791	80157	Hs.479703	NM_025087	ENSG00000109182	CWH43	CWH43-C|PGAP2IP	cell wall biogenesis 43 C-terminal homolog	protein-coding
chr15-6	chr15	21315755	21315939	+	18.3	0.746	Intergenic	(GCTG)n|Simple_repeat|Simple_repeat	107241	NR_145444	654499		NR_145444		FAM30C	HsT16041|KIAA0125P2	family with sequence similarity 30 member C	ncRNA
chr4_gl000193_random-4	chr4_gl000193_random	86948	87132	+	18.3	0.940	intron (NR_038377, intron 1 of 5)	SST1|Satellite|centr	1335	NR_038377	441058	Hs.130535	NR_038377		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
chr1-12	chr1	55455268	55455452	+	18.0	0.804	intron (NM_182532, intron 2 of 2)	intron (NM_182532, intron 2 of 2)	9059	NM_182532	199964	Hs.663950	NM_182532	ENSG00000143001	TMEM61	-	transmembrane protein 61	protein-coding
chr7-7	chr7	2563976	2564160	+	17.8	0.742	intron (NM_001040167, intron 1 of 7)	intron (NM_001040167, intron 1 of 7)	-2640	NR_039791	100616116		NR_039791	ENSG00000264357	MIR4648	-	microRNA 4648	ncRNA
chrY-13	chrY	13846407	13846591	+	17.8	0.938	Intergenic	(GAATG)n|Satellite|Satellite	686890	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr16-40	chr16	84877624	84877808	+	17.8	0.801	intron (NM_031476, intron 2 of 14)	intron (NM_031476, intron 2 of 14)	24125	NM_031476	83716	Hs.513779	NM_031476	ENSG00000103196	CRISPLD2	CRISP11|LCRISP2|LGL1	cysteine rich secretory protein LCCL domain containing 2	protein-coding
chr9_gl000199_random-7	chr9_gl000199_random	84636	84820	+	17.6	0.818	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr6-8	chr6	170747585	170747769	+	17.6	0.875	Intergenic	Intergenic	107828	NR_039787	100616430		NR_039787	ENSG00000266245	MIR4644	-	microRNA 4644	ncRNA
chr3-2	chr3	39650186	39650370	+	17.5	0.691	Intergenic	L1PA15|LINE|L1	106721	NM_001278323	4336	Hs.121333	NM_182935	ENSG00000168314	MOBP	-	myelin associated oligodendrocyte basic protein	protein-coding
chr10-30	chr10	105336689	105336873	+	17.5	0.881	intron (NM_004210, intron 3 of 5)	intron (NM_004210, intron 3 of 5)	-59582	NR_120675	102724341	Hs.599425	NR_120675	ENSG00000235470	NEURL1-AS1	-	NEURL1 antisense RNA 1	ncRNA
chr2-24	chr2	238632400	238632584	+	17.0	0.902	intron (NM_001137550, intron 7 of 23)	L2b|LINE|L2	31644	NM_004735	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
chr9_gl000199_random-11	chr9_gl000199_random	155579	155763	+	16.6	0.779	NA	ALR/Alpha|Satellite|centr	NA	NA								
chr2-27	chr2	87641952	87642136	+	16.6	0.809	Intergenic	(CAGC)n|Simple_repeat|Simple_repeat	-112902	NR_146461	112597	Hs.652166	NR_024204	ENSG00000222041	CYTOR	C2orf59|LINC00152|NCRNA00152	cytoskeleton regulator RNA	ncRNA
chr2-25	chr2	99526078	99526262	+	16.5	0.833	intron (NM_207362, intron 1 of 9)	intron (NM_207362, intron 1 of 9)	26518	NM_207362	343990	Hs.469398	NM_207362	ENSG00000196872	KIAA1211L	C2orf55	KIAA1211 like	protein-coding
chr19-10	chr19	44915562	44915746	+	16.5	0.899	Intergenic	ACRO1|Satellite|acro	-9880	NM_001291489	26974	Hs.709428	NM_152354	ENSG00000267508	ZNF285	ZNF285A	zinc finger protein 285	protein-coding
chrY-14	chrY	13868320	13868504	+	16.3	0.961	Intergenic	(GAATG)n|Satellite|Satellite	664977	NR_033667	352887	Hs.546221	NR_033667	ENSG00000206159	GYG2P1	GYG2P	glycogenin 2 pseudogene 1	pseudo
chr19-11	chr19	37785246	37785430	+	16.1	0.944	Intergenic	SST1|Satellite|centr	-18401	NR_138103	284459	Hs.640243	NM_181786	ENSG00000181666	ZNF875	HKR1	zinc finger protein 875	protein-coding
