PeakID (cmd=annotatePeaks.pl NEUROG3_peak0107_HIOE.filtered.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
1-299	chr19	15813318	15813731	+	0	NA	Intergenic	L1PBa|LINE|L1	-25310	NM_013939	26538	Hs.247694	NM_013939	ENSG00000171942	OR10H2	-	olfactory receptor family 10 subfamily H member 2	protein-coding
1-4743	chr9	134298609	134299022	+	0	NA	Intergenic	Intergenic	-6662	NM_013318	84726	Hs.743955	NM_013318	ENSG00000130723	PRRC2B	BAT2L|BAT2L1|KIAA0515|LQFBS-1	proline rich coiled-coil 2B	protein-coding
1-7776	chr11	71421063	71421476	+	0	NA	Intergenic	HERVS71-int|LTR|ERV1	-77288	NM_001099653	55199	Hs.567527	NM_018172	ENSG00000158483	FAM86C1	FAM86C	family with sequence similarity 86 member C1	protein-coding
1-593	chr1	172501838	172502251	+	0	NA	promoter-TSS (NM_001282751)	promoter-TSS (NM_001282751)	-214	NM_001282751	51430	Hs.204559	NM_014283	ENSG00000094975	SUCO	C1orf9|CH1|OPT|SLP1	SUN domain containing ossification factor	protein-coding
1-1750	chr11	17003363	17003776	+	0	NA	intron (NM_175058, intron 3 of 22)	intron (NM_175058, intron 3 of 22)	32392	NM_175058	144100	Hs.12332	NM_175058	ENSG00000166689	PLEKHA7	-	pleckstrin homology domain containing A7	protein-coding
1-4391	chr16	67211903	67212316	+	0	NA	exon (NM_001040715, exon 5 of 7)	exon (NM_001040715, exon 5 of 7)	4353	NM_001185057	8996	Hs.513667	NM_003946	ENSG00000140939	NOL3	ARC|FCM|MYOCL1|MYP|NOP|NOP30	nucleolar protein 3	protein-coding
1-6662	chrX	43315201	43315614	+	0	NA	Intergenic	MER34-int|LTR|ERV1	-198748	NM_001270458	4128	Hs.183109	NM_000240	ENSG00000189221	MAOA	BRNRS|MAO-A	monoamine oxidase A	protein-coding
1-2470	chr11	118889156	118889569	+	0	NA	promoter-TSS (NM_001318488)	promoter-TSS (NM_001318488)	-114	NM_001318494	51399	Hs.132760	NM_016146	ENSG00000196655	TRAPPC4	CGI-104|HSPC172|PTD009|SBDN|SYNBINDIN|TRS23	trafficking protein particle complex 4	protein-coding
1-4019	chr21	44936641	44937054	+	0	NA	Intergenic	Intergenic	-37433	NR_136540	102724354	Hs.592161	NR_136540	ENSG00000280191	LINC01669	-	long intergenic non-protein coding RNA 1669	ncRNA
1-536	chr22	42486767	42487180	+	0	NA	promoter-TSS (NR_034118)	promoter-TSS (NR_034118)	36	NR_034118	100132273	Hs.709677	NR_034118	ENSG00000237037	NDUFA6-DT	NDUFA6-AS1	NDUFA6 divergent transcript	ncRNA
1-5862	chr12	125204639	125205052	+	0	NA	Intergenic	L2a|LINE|L2	119372	NM_001367982	949	Hs.731377	NM_005505	ENSG00000073060	SCARB1	CD36L1|CLA-1|CLA1|HDLQTL6|SR-BI|SRB1	scavenger receptor class B member 1	protein-coding
1-1131	chr10	93884881	93885294	+	0	NA	intron (NM_014912, intron 6 of 9)	intron (NM_014912, intron 6 of 9)	117949	NM_001178137	22849	Hs.131683	NM_014912	ENSG00000107864	CPEB3	-	cytoplasmic polyadenylation element binding protein 3	protein-coding
1-4357	chr14	39495261	39495674	+	0	NA	Intergenic	Intergenic	-76877	NR_146545	105370458		NR_146545	ENSG00000258651	SEC23A-AS1	-	SEC23A antisense RNA 1	ncRNA
1-2339	chr1	24445015	24445428	+	0	NA	Intergenic	Intergenic	-6596	NM_152372	127294	Hs.523413	NM_152372	ENSG00000142661	MYOM3	-	myomesin 3	protein-coding
1-2743	chr17	79023965	79024378	+	0	NA	intron (NM_001144888, intron 1 of 13)	intron (NM_001144888, intron 1 of 13)	15220	NM_001144888	10458	Hs.128316	NM_006340	ENSG00000175866	BAIAP2	BAP2|FLAF3|IRSP53	BAI1 associated protein 2	protein-coding
1-4999	chr1	17571614	17572027	+	0	NA	3' UTR (NM_013358, exon 16 of 16)	3' UTR (NM_013358, exon 16 of 16)	-3773	NM_016233	51702	Hs.149195	NM_016233	ENSG00000142619	PADI3	PAD3|PDI3|UHS1	peptidyl arginine deiminase 3	protein-coding
1-4202	chr6	143017745	143018158	+	0	NA	Intergenic	Intergenic	-58925	NR_027312	153910	Hs.350819	NR_027311	ENSG00000236366	LOC153910	-	uncharacterized LOC153910	ncRNA
1-5725	chr7	36698505	36698918	+	0	NA	intron (NM_001637, intron 4 of 20)	intron (NM_001637, intron 4 of 20)	-58985	NR_046764	100874264	Hs.690994	NR_046764	ENSG00000230539	AOAH-IT1	-	AOAH intronic transcript 1	ncRNA
1-5697	chr6	41504646	41505059	+	0	NA	intron (NR_126415, intron 1 of 1)	LTR16C|LTR|ERVL	9129	NR_126417	101060264	Hs.571099	NR_126415	ENSG00000234753	FOXP4-AS1	-	FOXP4 antisense RNA 1	ncRNA
1-7238	chr3	125366398	125366811	+	0	NA	Intergenic	Intergenic	-52263	NM_022776	114885	Hs.477440	NM_022776	ENSG00000144909	OSBPL11	ORP-11|ORP11|OSBP12|TCCCIA00292	oxysterol binding protein like 11	protein-coding
1-5220	chr8	122970662	122971075	+	0	NA	Intergenic	Intergenic	-317188	NM_005328	3037	Hs.159226	NM_005328	ENSG00000170961	HAS2	-	hyaluronan synthase 2	protein-coding
1-5018	chr1	61664329	61664742	+	0	NA	intron (NM_001145512, intron 3 of 11)	intron (NM_001145512, intron 3 of 11)	54655	NR_104180	645030	Hs.632410	NR_104180	ENSG00000237853	NFIA-AS1	-	NFIA antisense RNA 1	ncRNA
1-3228	chr13	108867698	108868111	+	0	NA	promoter-TSS (NM_001352601)	promoter-TSS (NM_001352601)	-20	NM_206937	3981	Hs.166091	NM_002312	ENSG00000174405	LIG4	LIG4S	DNA ligase 4	protein-coding
1-2257	chr11	35915372	35915785	+	0	NA	Intergenic	Intergenic	-49953	NM_001304264	143458	Hs.745134	NM_174902	ENSG00000179241	LDLRAD3	LRAD3	low density lipoprotein receptor class A domain containing 3	protein-coding
1-3542	chr14	90979944	90980357	+	0	NA	Intergenic	Intergenic	3403	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
1-5792	chr10	92188880	92189293	+	0	NA	intron (NR_110657, intron 3 of 6)	intron (NR_110657, intron 3 of 6)	111476	NR_110657	101926942	Hs.382666	NR_110657	ENSG00000236373	LINC02653	-	long intergenic non-protein coding RNA 2653	ncRNA
1-4246	chr8	145022641	145023054	+	0	NA	intron (NM_000445, intron 2 of 32)	intron (NM_000445, intron 2 of 32)	2247	NM_201380	5339	Hs.434248	NM_000445	ENSG00000178209	PLEC	EBS1|EBSMD|EBSND|EBSO|EBSOG|EBSPA|HD1|LGMD2Q|LGMDR17|PCN|PLEC1|PLEC1b|PLTN	plectin	protein-coding
1-676	chr6	37070084	37070497	+	0	NA	Intergenic	Intergenic	-67638	NM_001243186	5292	Hs.81170	NM_002648	ENSG00000137193	PIM1	PIM	Pim-1 proto-oncogene, serine/threonine kinase	protein-coding
1-96	chr3	195531029	195531442	+	0	NA	intron (NM_001322468, intron 1 of 45)	intron (NM_001322468, intron 1 of 45)	7565	NM_018406	4585	Hs.369646	NM_004532	ENSG00000145113	MUC4	ASGP|HSA276359|MUC-4	mucin 4, cell surface associated	protein-coding
1-5	chr6	170747478	170747891	+	0	NA	Intergenic	Intergenic	107835	NR_039787	100616430		NR_039787	ENSG00000266245	MIR4644	-	microRNA 4644	ncRNA
1-6020	chrX	152822217	152822630	+	0	NA	exon (NM_021949, exon 14 of 21)	exon (NM_021949, exon 14 of 21)	20843	NM_001001344	492	Hs.533956	NM_021949	ENSG00000067842	ATP2B3	CFAP39|CLA2|OPCA|PMCA3|PMCA3a|SCAX1	ATPase plasma membrane Ca2+ transporting 3	protein-coding
1-7152	chr1	241576751	241577164	+	0	NA	Intergenic	Intergenic	-56427	NM_001282778	6000	Hs.655739	NM_002924	ENSG00000182901	RGS7	-	regulator of G protein signaling 7	protein-coding
1-3956	chr17	9110177	9110590	+	0	NA	intron (NM_004822, intron 5 of 6)	intron (NM_004822, intron 5 of 6)	-27948	NR_110828	101928266	Hs.639880	NR_110828	ENSG00000262966	LOC101928266	-	uncharacterized LOC101928266	ncRNA
1-5833	chr11	80489971	80490384	+	0	NA	Intergenic	Intergenic	-16331	NR_120570	101928944	Hs.547927	NR_120570	ENSG00000255178	LINC02720	-	long intergenic non-protein coding RNA 2720	ncRNA
1-3061	chr1	225934418	225934831	+	0	NA	Intergenic	Intergenic	-30891	NM_003133	6726	Hs.511425	NM_003133	ENSG00000143742	SRP9	ALURBP	signal recognition particle 9	protein-coding
1-4856	chr15	66249744	66250157	+	0	NA	exon (NM_032445, exon 10 of 23)	exon (NM_032445, exon 10 of 23)	-82621	NR_036196	100422905		NR_036196	ENSG00000263512	MIR4311	-	microRNA 4311	ncRNA
1-4069	chr1	111066732	111067145	+	0	NA	Intergenic	Intergenic	-5141	NM_005549	3744	Hs.248140	NM_005549	ENSG00000143105	KCNA10	Kcn1|Kv1.8	potassium voltage-gated channel subfamily A member 10	protein-coding
1-3520	chr12	110144802	110145215	+	0	NA	Intergenic	Intergenic	-6622	NM_032829	84915	Hs.661785	NM_032829	ENSG00000139438	FAM222A	C12orf34	family with sequence similarity 222 member A	protein-coding
1-7548	chr14	89021262	89021675	+	0	NA	promoter-TSS (NM_007039)	promoter-TSS (NM_007039)	-117	NM_007039	11099	Hs.437040	NM_007039	ENSG00000070778	PTPN21	PTPD1|PTPRL10	protein tyrosine phosphatase non-receptor type 21	protein-coding
1-4063	chr1	56991290	56991703	+	0	NA	intron (NM_003713, intron 2 of 5)	intron (NM_003713, intron 2 of 5)	53740	NM_003713	8613	Hs.405156	NM_003713	ENSG00000162407	PLPP3	Dri42|LPP3|PAP2B|PPAP2B|VCIP	phospholipid phosphatase 3	protein-coding
1-5292	chr11	34622140	34622553	+	0	NA	Intergenic	Intergenic	-20294	NM_001206615	26298	Hs.653859	NM_012153	ENSG00000135373	EHF	ESE3|ESE3B|ESEJ	ETS homologous factor	protein-coding
1-1068	chr15	74277358	74277771	+	0	NA	intron (NM_001324228, intron 5 of 6)	intron (NM_001324228, intron 5 of 6)	7072	NM_001256675	9399	Hs.194816	NM_004809	ENSG00000067221	STOML1	SLP-1|STORP|hUNC-24	stomatin like 1	protein-coding
1-1415	chr7	130005393	130005806	+	0	NA	non-coding (NR_133928, exon 2 of 2)	non-coding (NR_133928, exon 2 of 2)	1369	NR_133928	105375504	Hs.436058	NR_133928		LOC105375504	-	uncharacterized LOC105375504	ncRNA
1-5078	chr2	169067771	169068184	+	0	NA	intron (NM_013233, intron 1 of 17)	intron (NM_013233, intron 1 of 17)	36128	NM_013233	27347	Hs.276271	NM_013233	ENSG00000198648	STK39	DCHT|PASK|SPAK	serine/threonine kinase 39	protein-coding
1-7154	chr2	18741658	18742071	+	0	NA	promoter-TSS (NM_020905)	promoter-TSS (NM_020905)	55	NM_020905	57665	Hs.120319	NM_020905	ENSG00000240857	RDH14	PAN2|SDR7C4	retinol dehydrogenase 14	protein-coding
1-6596	chr18	3985574	3985987	+	0	NA	intron (NR_102696, intron 1 of 4)	intron (NR_102696, intron 1 of 4)	23427	NR_102696	101410534	Hs.141055	NR_102696	ENSG00000263878	DLGAP1-AS4	-	DLGAP1 antisense RNA 4	ncRNA
1-2659	chr9	107573123	107573536	+	0	NA	intron (NM_005502, intron 28 of 49)	intron (NM_005502, intron 28 of 49)	46919	NM_018376	55335	Hs.429294	NM_018376	ENSG00000165028	NIPSNAP3B	FP944|NIPSNAP3|SNAP1	nipsnap homolog 3B	protein-coding
1-7074	chr20	50294954	50295367	+	0	NA	intron (NM_006045, intron 9 of 27)	intron (NM_006045, intron 9 of 27)	89769	NM_006045	10079	Hs.649234	NM_006045	ENSG00000054793	ATP9A	ATPIIA	ATPase phospholipid transporting 9A (putative)	protein-coding
1-911	chr1	21941234	21941647	+	0	NA	intron (NM_001350525, intron 9 of 27)	intron (NM_001350525, intron 9 of 27)	36951	NM_001145658	5909	Hs.148178	NM_002885	ENSG00000076864	RAP1GAP	RAP1GA1|RAP1GAP1|RAP1GAPII|RAPGAP	RAP1 GTPase activating protein	protein-coding
1-2611	chr5	10331616	10332029	+	0	NA	Intergenic	Intergenic	-21985	NM_001270660	10299	Hs.432862	NM_005885	ENSG00000145495	MARCH6	DOA10|MARCH-VI|RNF176|TEB4	membrane associated ring-CH-type finger 6	protein-coding
1-5403	chr16	68118351	68118764	+	0	NA	promoter-TSS (NM_004555)	promoter-TSS (NM_004555)	-716	NM_173165	4775	Hs.436585	NM_004555	ENSG00000072736	NFATC3	NF-AT4c|NFAT4|NFATX	nuclear factor of activated T cells 3	protein-coding
1-2572	chr1	177867904	177868317	+	0	NA	Intergenic	Intergenic	70947	NM_033127	89866	Hs.149540	NM_033127	ENSG00000120341	SEC16B	LZTR2|PGPR-p117|RGPR|RGPR-p117|SEC16S	SEC16 homolog B, endoplasmic reticulum export factor	protein-coding
1-6974	chr14	54355168	54355581	+	0	NA	Intergenic	Intergenic	59828	NR_049843	100847076		NR_049843	ENSG00000266431	MIR5580	-	microRNA 5580	ncRNA
1-6953	chr13	24469866	24470279	+	0	NA	intron (NM_001007537, intron 1 of 2)	intron (NM_001007537, intron 1 of 2)	1073	NM_001007537	387911	Hs.740810	NM_001007537	ENSG00000205863	C1QTNF9B	CTRP9B	C1q and TNF related 9B	protein-coding
1-2635	chr7	156806656	156807069	+	0	NA	intron (NR_038835, intron 1 of 1)	intron (NR_038835, intron 1 of 1)	3311	NR_038835	645249	Hs.224879	NR_038835	ENSG00000243479	MNX1-AS1	CCAT5	MNX1 antisense RNA 1 (head to head)	ncRNA
1-3304	chr20	57987233	57987646	+	0	NA	Intergenic	Intergenic	111773	NM_207034	1908	Hs.1408	NM_000114	ENSG00000124205	EDN3	ET-3|ET3|HSCR4|PPET3|WS4B	endothelin 3	protein-coding
1-1107	chr2	71276860	71277273	+	0	NA	Intergenic	HERVE-int|LTR|ERV1	-18360	NM_001330426	55577	Hs.7036	NM_017567	ENSG00000124357	NAGK	GNK|HSA242910	N-acetylglucosamine kinase	protein-coding
1-511	chr2	85660827	85661240	+	0	NA	intron (NM_201594, intron 14 of 20)	intron (NM_201594, intron 14 of 20)	14979	NM_201594	284948	Hs.209542	NM_198482	ENSG00000152292	SH2D6	-	SH2 domain containing 6	protein-coding
1-378	chr1	226843838	226844251	+	0	NA	non-coding (NR_103784, exon 2 of 2)	non-coding (NR_103784, exon 2 of 2)	18725	NR_103784	100506443	Hs.664293	NR_103784		ITPKB-IT1	-	ITPKB intronic transcript 1	ncRNA
1-7305	chr5	102159092	102159505	+	0	NA	intron (NM_001364582, intron 1 of 24)	intron (NM_001364582, intron 1 of 24)	15396	NM_001364582	5066	Hs.369430	NM_000919	ENSG00000145730	PAM	PAL|PHM	peptidylglycine alpha-amidating monooxygenase	protein-coding
1-2984	chr17	19290538	19290951	+	0	NA	promoter-TSS (NM_001198695)	promoter-TSS (NM_001198695)	-241	NM_002404	4239	Hs.296049	NM_002404	ENSG00000166482	MFAP4	-	microfibril associated protein 4	protein-coding
1-3413	chr5	173209068	173209481	+	0	NA	Intergenic	Intergenic	8671	NR_108028	101928154	Hs.366725	NR_108028		LINC01485	-	long intergenic non-protein coding RNA 1485	ncRNA
1-4489	chr22	36727355	36727768	+	0	NA	intron (NM_002473, intron 3 of 40)	intron (NM_002473, intron 3 of 40)	-44608	NR_106877	102465491		NR_106877	ENSG00000278420	MIR6819	hsa-mir-6819	microRNA 6819	ncRNA
1-3070	chr2	64589853	64590266	+	0	NA	Intergenic	Intergenic	-22077	NR_106995	102465833		NR_106995	ENSG00000264297	MIR4433B	hsa-mir-4433b	microRNA 4433b	ncRNA
1-1701	chr2	121223674	121224087	+	0	NA	promoter-TSS (NR_027181)	promoter-TSS (NR_027181)	45	NR_027181	84931	Hs.334519	NM_032845	ENSG00000280409	LINC01101	-	long intergenic non-protein coding RNA 1101	ncRNA
1-2448	chr10	74035764	74036177	+	0	NA	TTS (NM_019058)	TTS (NM_019058)	2288	NM_019058	54541	Hs.744875	NM_019058	ENSG00000168209	DDIT4	Dig2|REDD-1|REDD1	DNA damage inducible transcript 4	protein-coding
1-3503	chr11	68890137	68890550	+	0	NA	Intergenic	Intergenic	-33060	NR_161183	107984345		NM_001369201		SMIM38	-	small integral membrane protein 38	protein-coding
1-5094	chr3	13152219	13152632	+	0	NA	Intergenic	Intergenic	-37496	NM_001134382	9922	Hs.475506	NM_014869	ENSG00000144711	IQSEC1	ARF-GEP100|ARFGEP100|BRAG2|GEP100	IQ motif and Sec7 domain 1	protein-coding
1-7227	chr3	51376034	51376447	+	0	NA	intron (NM_004947, intron 36 of 52)	intron (NM_004947, intron 36 of 52)	-46482	NM_006010	7873	Hs.436446	NM_006010	ENSG00000145050	MANF	ARMET|ARP	mesencephalic astrocyte derived neurotrophic factor	protein-coding
1-4047	chr1	27334668	27335081	+	0	NA	intron (NM_052943, intron 1 of 1)	intron (NM_052943, intron 1 of 1)	4467	NM_052943	115572	Hs.632378	NM_052943	ENSG00000158246	TENT5B	FAM46B	terminal nucleotidyltransferase 5B	protein-coding
1-1671	chr17	46037249	46037662	+	0	NA	Intergenic	Intergenic	-2206	NM_024320	79170	Hs.368260	NM_024320	ENSG00000167183	PRR15L	ATAD4	proline rich 15 like	protein-coding
