PeakID (cmd=annotatePeaks.pl PDX1_merged_hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11247	chr20	7180352	7180970	+	0	NA	intron (NR_110609, intron 3 of 7)	intron (NR_110609, intron 3 of 7)	54188	NR_110609	101929265	Hs.637730	NR_110609	ENSG00000228888	LINC01428	-	long intergenic non-protein coding RNA 1428	ncRNA
8484	chr18	3191954	3192995	+	0	NA	intron (NM_003803, intron 3 of 37)	intron (NM_003803, intron 3 of 37)	27492	NM_019856	8736	Hs.464469	NM_003803	ENSG00000101605	MYOM1	SKELEMIN	myomesin 1	protein-coding
1847	chr1	235416671	235417716	+	0	NA	intron (NM_031371, intron 5 of 22)	intron (NM_031371, intron 5 of 22)	-63762	NR_039908	100616224		NR_039908	ENSG00000263439	MIR4753	mir-4753	microRNA 4753	ncRNA
9481	chr2	919908	920973	+	0	NA	Intergenic	L3b|LINE|CR1	-19303	NR_110179	101060385	Hs.385965	NR_110179	ENSG00000228799	LINC01939	-	long intergenic non-protein coding RNA 1939	ncRNA
13344	chr3	140675804	140676409	+	0	NA	intron (NM_018155, intron 2 of 6)	intron (NM_018155, intron 2 of 6)	15428	NM_001104647	55186	Hs.144130	NM_018155	ENSG00000114120	SLC25A36	PNC2	solute carrier family 25 member 36	protein-coding
15752	chr5	112538634	112539674	+	0	NA	intron (NM_001085377, intron 3 of 18)	intron (NM_001085377, intron 3 of 18)	91481	NM_002387	4163	Hs.593171	NM_002387	ENSG00000171444	MCC	MCC1	MCC regulator of WNT signaling pathway	protein-coding
10365	chr2	120226026	120226833	+	0	NA	intron (NM_002980, intron 4 of 12)	L3|LINE|CR1	-7601	NR_147846	107105282	Hs.670673	NR_147846	ENSG00000231013	LOC107105282	-	uncharacterized LOC107105282	ncRNA
15860	chr5	124757022	124757681	+	0	NA	Intergenic	Intergenic	-71603	NR_109887	101927460	Hs.407582	NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
11385	chr20	20526870	20527499	+	0	NA	intron (NM_020343, intron 24 of 39)	intron (NM_020343, intron 24 of 39)	166103	NM_020343	57186	Hs.472285	NM_020343	ENSG00000188559	RALGAPA2	AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220	Ral GTPase activating protein catalytic alpha subunit 2	protein-coding
12723	chr3	62009819	62010453	+	0	NA	intron (NM_002841, intron 4 of 29)	intron (NM_002841, intron 4 of 29)	294486	NR_038283	100506994	Hs.656620	NR_038281	ENSG00000241472	PTPRG-AS1	-	PTPRG antisense RNA 1	ncRNA
14266	chr4	84034529	84035450	+	0	NA	intron (NM_001130715, intron 1 of 3)	intron (NM_001130715, intron 1 of 3)	893	NM_001130715	51316	Hs.546392	NM_016619	ENSG00000145287	PLAC8	C15|DGIC|PNAS-144|onzin	placenta associated 8	protein-coding
18148	chr7	51318862	51319548	+	0	NA	intron (NM_001346441, intron 1 of 12)	intron (NM_001346441, intron 1 of 12)	65301	NM_001346441	23242	Hs.99141	NM_015198	ENSG00000106078	COBL	-	cordon-bleu WH2 repeat protein	protein-coding
11483	chr20	34204033	34204647	+	0	NA	intron (NM_003116, intron 1 of 11)	intron (NM_003116, intron 1 of 11)	534	NM_001317931	6676	Hs.123159	NM_003116	ENSG00000061656	SPAG4	CT127|SUN4	sperm associated antigen 4	protein-coding
4492	chr12	56521301	56522304	+	0	NA	promoter-TSS (NM_001184796)	promoter-TSS (NM_001184796)	-184	NM_015292	23344	Hs.632729	NM_015292	ENSG00000139641	ESYT1	FAM62A|MBC2	extended synaptotagmin 1	protein-coding
15728	chr5	109593909	109594943	+	0	NA	Intergenic	Intergenic	255190	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
4905	chr12	110173832	110174657	+	0	NA	intron (NR_026662, intron 1 of 2)	MIRb|SINE|MIR	22614	NM_032829	84915	Hs.661785	NM_032829	ENSG00000139438	FAM222A	C12orf34	family with sequence similarity 222 member A	protein-coding
2498	chr10	77716979	77717832	+	0	NA	intron (NR_131178, intron 3 of 7)	intron (NR_131178, intron 3 of 7)	174886	NM_032024	83938	Hs.118161	NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
13569	chr3	172102234	172103159	+	0	NA	intron (NM_022763, intron 25 of 25)	intron (NM_022763, intron 25 of 25)	63550	NM_198407	2693	Hs.130212	NM_004122	ENSG00000121853	GHSR	GHDP	growth hormone secretagogue receptor	protein-coding
13094	chr3	114274043	114274784	+	0	NA	intron (NR_121662, intron 3 of 6)	intron (NR_121662, intron 3 of 6)	68640	NM_001164347	26137	Hs.202577	NM_015642	ENSG00000181722	ZBTB20	DPZF|HOF|ODA-8S|PRIMS|ZNF288	zinc finger and BTB domain containing 20	protein-coding
16698	chr6	41752104	41752700	+	0	NA	intron (NM_013397, intron 4 of 7)	intron (NM_013397, intron 4 of 7)	-2779	NM_001134493	100188893	Hs.731633	NM_001134493	ENSG00000214736	TOMM6	OBTP|TOM6	translocase of outer mitochondrial membrane 6	protein-coding
10170	chr2	79865214	79866697	+	0	NA	intron (NM_001282598, intron 1 of 17)	intron (NM_001282598, intron 1 of 17)	10530	NR_036231	100422888		NR_036231	ENSG00000266436	MIR4264	-	microRNA 4264	ncRNA
7241	chr16	17971571	17972406	+	0	NA	Intergenic	Intergenic	-407171	NM_022166	64131	Hs.22907	NM_022166	ENSG00000103489	XYLT1	DBQD2|PXYLT1|XT-I|XT1|XTI|XYLTI|xylT-I	xylosyltransferase 1	protein-coding
5562	chr13	72204482	72205492	+	0	NA	intron (NM_080760, intron 3 of 8)	intron (NM_080760, intron 3 of 8)	236343	NM_004392	1602	Hs.129452	NM_004392	ENSG00000276644	DACH1	DACH	dachshund family transcription factor 1	protein-coding
12133	chr22	37789353	37790453	+	0	NA	intron (NM_052906, intron 2 of 2)	intron (NM_052906, intron 2 of 2)	33602	NR_110512	114794	Hs.344170	NM_052906	ENSG00000166897	ELFN2	LRRC62|PPP1R29	extracellular leucine rich repeat and fibronectin type III domain containing 2	protein-coding
9374	chr19	47045592	47046523	+	0	NA	intron (NM_001205281, intron 1 of 3)	intron (NM_001205281, intron 1 of 3)	-46933	NM_020709	57469	Hs.7193	NM_020709	ENSG00000204851	PNMA8B	PNMAL2	PNMA family member 8B	protein-coding
3519	chr11	67250356	67251166	+	0	NA	promoter-TSS (NM_001302959)	promoter-TSS (NM_001302959)	-226	NM_001302959	9049	Hs.412433	NM_003977	ENSG00000110711	AIP	ARA9|FKBP16|FKBP37|PITA1|SMTPHN|XAP-2|XAP2	aryl hydrocarbon receptor interacting protein	protein-coding
4957	chr12	117549196	117549939	+	0	NA	intron (NR_120464, intron 2 of 2)	intron (NR_120464, intron 2 of 2)	12295	NR_120464	101928244	Hs.742266	NR_120464		TESC-AS1	-	TESC antisense RNA 1 (head to head)	ncRNA
7850	chr17	16283998	16284592	+	0	NA	promoter-TSS (NM_018955)	promoter-TSS (NM_018955)	-110	NM_018955	7314	Hs.356190	NM_018955	ENSG00000170315	UBB	HEL-S-50	ubiquitin B	protein-coding
10747	chr2	182882717	182883591	+	0	NA	intron (NM_001261424, intron 2 of 5)	intron (NM_001261424, intron 2 of 5)	32574	NM_001261425	151242	Hs.10941	NM_001080545	ENSG00000150722	PPP1R1C	IPP5	protein phosphatase 1 regulatory inhibitor subunit 1C	protein-coding
6060	chr14	60793879	60794874	+	0	NA	Intergenic	Intergenic	4462	NR_146481	101927729		NR_146481	ENSG00000258556	LINC02322	-	long intergenic non-protein coding RNA 2322	ncRNA
12992	chr3	105183190	105183704	+	0	NA	intron (NM_001243280, intron 1 of 14)	intron (NM_001243280, intron 1 of 14)	97694	NM_001243280	214	Hs.591293	NM_001627	ENSG00000170017	ALCAM	CD166|MEMD	activated leukocyte cell adhesion molecule	protein-coding
3527	chr11	68208773	68209756	+	0	NA	intron (NM_002335, intron 21 of 22)	L1MB8|LINE|L1	-18956	NR_147970	55291	Hs.503022	NM_018312	ENSG00000110075	PPP6R3	C11orf23|PP6R3|SAP190|SAPL|SAPLa|SAPS3	protein phosphatase 6 regulatory subunit 3	protein-coding
20638	chr9	118981582	118982567	+	0	NA	intron (NM_002581, intron 4 of 21)	intron (NM_002581, intron 4 of 21)	66004	NM_002581	5069	Hs.643599	NM_002581	ENSG00000182752	PAPPA	ASBABP2|DIPLA1|IGFBP-4ase|PAPA|PAPP-A|PAPPA1	pappalysin 1	protein-coding
18894	chr7	154708465	154709014	+	0	NA	Intergenic	Intergenic	-11488	NR_024476	100132707	Hs.586358	NR_024476	ENSG00000214106	PAXIP1-AS2	PAXIP1OS	PAXIP1 antisense RNA 2	ncRNA
8151	chr17	49008275	49009270	+	0	NA	Intergenic	CpG	-63433	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
5869	chr14	31809882	31810466	+	0	NA	intron (NM_015473, intron 21 of 35)	intron (NM_015473, intron 21 of 35)	79582	NM_015473	25938	Hs.744979	NM_015473	ENSG00000129493	HEATR5A	C14orf125	HEAT repeat containing 5A	protein-coding
3871	chr11	114925291	114925980	+	0	NA	Intergenic	Intergenic	-278661	NR_135108	105369509	Hs.736064	NR_135108		LOC105369509	-	uncharacterized LOC105369509	ncRNA
7868	chr17	17603557	17604216	+	0	NA	intron (NM_030665, intron 1 of 5)	CpG	19114	NM_030665	10743	Hs.655395	NM_030665	ENSG00000108557	RAI1	SMCR|SMS	retinoic acid induced 1	protein-coding
7474	chr16	70780384	70781415	+	0	NA	intron (NM_001351157, intron 11 of 17)	L1MB7|LINE|L1	-8099	NR_034083	100130894	Hs.678899	NR_034083	ENSG00000214353	VAC14-AS1	-	VAC14 antisense RNA 1	ncRNA
12063	chr22	30021181	30021949	+	0	NA	intron (NM_181831, intron 1 of 14)	intron (NM_181831, intron 1 of 14)	21943	NM_181830	4771	Hs.187898	NM_000268	ENSG00000186575	NF2	ACN|BANF|SCH	neurofibromin 2	protein-coding
4890	chr12	109481720	109482511	+	0	NA	intron (NM_001301175, intron 3 of 15)	L1MB3|LINE|L1	-8266	NM_032663	84749	Hs.486434	NM_032663	ENSG00000135093	USP30	-	ubiquitin specific peptidase 30	protein-coding
15305	chr5	57452637	57453356	+	0	NA	Intergenic	Intergenic	-34828	NR_104669	101928569	Hs.319708	NR_104669		LINC02101	-	long intergenic non-protein coding RNA 2101	ncRNA
5898	chr14	34243851	34244581	+	0	NA	intron (NM_173159, intron 8 of 11)	intron (NM_173159, intron 8 of 11)	66073	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
2561	chr10	80218585	80219412	+	0	NA	Intergenic	Intergenic	191899	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
10506	chr2	149634113	149634897	+	0	NA	intron (NM_004522, intron 1 of 25)	intron (NM_004522, intron 1 of 25)	1709	NM_004522	3800	Hs.435557	NM_004522	ENSG00000168280	KIF5C	CDCBM2|KINN|NKHC|NKHC-2|NKHC2	kinesin family member 5C	protein-coding
1730	chr1	224521642	224522114	+	0	NA	Intergenic	MER89|LTR|ERV1	-3987	NM_001243147	4931	Hs.497867	NM_002533	ENSG00000143748	NVL	NVL2	nuclear VCP like	protein-coding
17193	chr6	122901455	122902651	+	0	NA	intron (NM_001270393, intron 3 of 7)	intron (NM_001270393, intron 3 of 7)	-29324	NM_032471	5570	Hs.741340	NM_032471	ENSG00000135549	PKIB	PRKACN2	cAMP-dependent protein kinase inhibitor beta	protein-coding
6588	chr15	37496612	37497272	+	0	NA	Intergenic	Intergenic	-103430	NM_001220482	4212	Hs.510989	NM_002399	ENSG00000134138	MEIS2	CPCMR|HsT18361|MRG1	Meis homeobox 2	protein-coding
10175	chr2	80003696	80004949	+	0	NA	intron (NM_001164883, intron 3 of 16)	intron (NM_001164883, intron 3 of 16)	89387	NR_107047	102465877		NR_107047	ENSG00000276917	MIR8080	hsa-mir-8080	microRNA 8080	ncRNA
3189	chr11	19978761	19979744	+	0	NA	intron (NM_001244963, intron 11 of 39)	intron (NM_001244963, intron 11 of 39)	-64850	NM_001111019	89797	Hs.64341	NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
14168	chr4	73157489	73158270	+	0	NA	intron (NM_014243, intron 19 of 21)	HAL1|LINE|L1	253030	NM_053036	10886	Hs.99231	NM_004885	ENSG00000056291	NPFFR2	GPR74|HLWAR77|NPFF2|NPGPR	neuropeptide FF receptor 2	protein-coding
7840	chr17	12760227	12760758	+	0	NA	intron (NM_014859, intron 1 of 20)	intron (NM_014859, intron 1 of 20)	60167	NR_039747	100616494		NR_039747	ENSG00000265503	MIR1269B	-	microRNA 1269b	ncRNA
3614	chr11	82782504	82783270	+	0	NA	promoter-TSS (NM_014488)	promoter-TSS (NM_014488)	52	NM_014488	27314	Hs.40758	NM_014488	ENSG00000137502	RAB30	-	RAB30, member RAS oncogene family	protein-coding
7043	chr15	91950517	91951682	+	0	NA	Intergenic	Intergenic	-55470	NR_110106	101926928	Hs.638788	NR_110106	ENSG00000258551	CRAT37	-	cervical cancer-associated transcript 37	ncRNA
703	chr1	66696606	66697555	+	0	NA	intron (NM_001037340, intron 1 of 14)	intron (NM_001037340, intron 1 of 14)	-100711	NM_001037339	5142	Hs.198072	NM_002600	ENSG00000184588	PDE4B	DPDE4|PDEIVB	phosphodiesterase 4B	protein-coding
10763	chr2	186533075	186534057	+	0	NA	Intergenic	Tigger3|DNA|TcMar-Tigger	69880	NR_110215	101927196	Hs.244783	NR_110214	ENSG00000226747	FSIP2-AS2	-	FSIP2 antisense RNA 2	ncRNA
2675	chr10	95556601	95557510	+	0	NA	exon (NM_005097, exon 8 of 8)	exon (NM_005097, exon 8 of 8)	39362	NM_005097	9211	Hs.533670	NM_005097	ENSG00000108231	LGI1	ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099	leucine rich glioma inactivated 1	protein-coding
10751	chr2	183777016	183777646	+	0	NA	3' UTR (NM_013436, exon 31 of 31)	3' UTR (NM_013436, exon 31 of 31)	-45966	NM_001463	2487	Hs.128453	NM_001463	ENSG00000162998	FRZB	FRE|FRITZ|FRP-3|FRZB-1|FRZB-PEN|FRZB1|FZRB|OS1|SFRP3|SRFP3|hFIZ	frizzled related protein	protein-coding
2777	chr10	105956829	105957634	+	0	NA	intron (NM_025145, intron 9 of 37)	intron (NM_025145, intron 9 of 37)	21410	NR_030340	693194		NR_030340	ENSG00000208033	MIR609	MIRN609|hsa-mir-609	microRNA 609	ncRNA
2571	chr10	80873578	80874726	+	0	NA	intron (NM_020338, intron 1 of 24)	intron (NM_020338, intron 1 of 24)	45429	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10	zinc finger MIZ-type containing 1	protein-coding
10383	chr2	122288225	122288892	+	0	NA	TTS (NR_023343)	TTS (NR_023343)	102	NR_023343	100151683	Hs.689638	NR_023343	ENSG00000264229	RNU4ATAC	MOPD1|RFMN|RNU4ATAC1|TALS|U4ATAC	RNA, U4atac small nuclear (U12-dependent splicing)	snRNA
8301	chr17	65070564	65071289	+	0	NA	3' UTR (NM_014877, exon 33 of 33)	3' UTR (NM_014877, exon 33 of 33)	30256	NM_000727	786	Hs.147989	NM_000727	ENSG00000108878	CACNG1	CACNLG	calcium voltage-gated channel auxiliary subunit gamma 1	protein-coding
