PeakID (cmd=annotatePeaks.pl 09-17ngn3_30M_peaksfdr0.05.txt hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-4	chr6	167823347	167823579	+	43.1	0.860	Intergenic	Intergenic	-25465	NM_004610	6953	Hs.351	NM_004610	ENSG00000203690	TCP10	TCP10A	t-complex 10	protein-coding
chr2-7	chr2	99526054	99526286	+	40.9	0.906	intron (NM_207362, intron 1 of 9)	intron (NM_207362, intron 1 of 9)	26514	NM_207362	343990	Hs.469398	NM_207362	ENSG00000196872	KIAA1211L	C2orf55	KIAA1211 like	protein-coding
chr5-2	chr5	127221034	127221266	+	40.2	0.913	intron (NM_001317938, intron 6 of 6)	intron (NM_001317938, intron 6 of 6)	182069	NM_001317938	728586	Hs.582532	NM_001317938	ENSG00000230561	CCDC192	LINC01183	coiled-coil domain containing 192	protein-coding
chr8-3	chr8	17519230	17519462	+	39.4	0.879	intron (NM_001001924, intron 8 of 14)	intron (NM_001001924, intron 8 of 14)	14664	NM_001330470	57509	Hs.7946	NM_020749	ENSG00000129422	MTUS1	ATBP|ATIP|ATIP3|ICIS|MP44|MTSG1	microtubule associated scaffold protein 1	protein-coding
chr17-2	chr17	72329123	72329355	+	39.1	0.816	intron (NM_153209, intron 2 of 19)	intron (NM_153209, intron 2 of 19)	6888	NM_153209	124602	Hs.372773	NM_153209	ENSG00000196169	KIF19	KIF19A	kinesin family member 19	protein-coding
chr4-2	chr4	90166661	90166893	+	38.7	0.954	3' UTR (NM_198281, exon 2 of 2)	3' UTR (NM_198281, exon 2 of 2)	62384	NM_198281	285513	Hs.100912	NM_198281	ENSG00000185477	GPRIN3	GRIN3	GPRIN family member 3	protein-coding
chr22-1	chr22	46164475	46164707	+	38.5	0.910	intron (NM_001167621, intron 8 of 10)	L1MC4a|LINE|L1	8187	NR_039919	100616253		NR_039919	ENSG00000264160	MIR4762	-	microRNA 4762	ncRNA
chr20-2	chr20	60931162	60931394	+	37.9	0.885	non-coding (NR_109922, exon 3 of 3)	non-coding (NR_109922, exon 3 of 3)	3212	NR_109922	101928158	Hs.473256	NR_109922	ENSG00000228812	LAMA5-AS1	-	LAMA5 antisense RNA 1	ncRNA
chr20-3	chr20	32156292	32156524	+	37.5	0.798	intron (NM_001039709, intron 1 of 10)	intron (NM_001039709, intron 1 of 10)	6237	NM_005093	9139	Hs.153934	NM_005093	ENSG00000078699	CBFA2T2	EHT|MTGR1|ZMYND3|p85	CBFA2/RUNX1 translocation partner 2	protein-coding
chr6-5	chr6	57365476	57365708	+	37.3	0.907	intron (NM_000947, intron 7 of 14)	LTR24B|LTR|ERV1	110662	NR_036097	100422884		NR_036097	ENSG00000212017	MIR548U	-	microRNA 548u	ncRNA
chr2-8	chr2	238632357	238632589	+	37.1	0.939	intron (NM_001137550, intron 7 of 23)	L2b|LINE|L2	31666	NM_001137553	9208	Hs.471779	NM_004735	ENSG00000124831	LRRFIP1	FLAP-1|FLAP1|FLIIAP1|GCF-2|GCF2|HUFI-1|TRIP	LRR binding FLII interacting protein 1	protein-coding
chr2-9	chr2	5550096	5550328	+	37.1	0.904	Intergenic	Intergenic	281038	NR_110580	102723818	Hs.128107	NR_110580		LINC01248	-	long intergenic non-protein coding RNA 1248	ncRNA
chr1-7	chr1	174943858	174944090	+	36.6	0.854	intron (NM_001243765, intron 4 of 8)	intron (NM_001243765, intron 4 of 8)	10069	NM_001243764	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
chr3-1	chr3	134150089	134150321	+	35.2	0.920	Intergenic	Intergenic	-6464	NR_039951	100616281		NR_039951	ENSG00000284561	MIR4788	-	microRNA 4788	ncRNA
chr4-3	chr4	79971733	79971965	+	35.1	0.887	intron (NR_038342, intron 2 of 5)	intron (NR_038342, intron 2 of 5)	78947	NR_038342	100505875	Hs.480055	NR_038342		LINC01088	-	long intergenic non-protein coding RNA 1088	ncRNA
chr1-8	chr1	108075071	108075303	+	35.0	0.853	Intergenic	Intergenic	155939	NM_001079874	10451	Hs.267659	NM_006113	ENSG00000134215	VAV3	-	vav guanine nucleotide exchange factor 3	protein-coding
chr16-24	chr16	4349096	4349328	+	34.5	0.872	Intergenic	Intergenic	-15550	NM_001318918	84662	Hs.592087	NM_032575	ENSG00000126603	GLIS2	NKL|NPHP7	GLIS family zinc finger 2	protein-coding
chr2-11	chr2	75303271	75303503	+	33.8	0.859	intron (NM_001058, intron 2 of 4)	intron (NM_001058, intron 2 of 4)	-14552	NR_049796	100846995		NR_049796	ENSG00000263909	MIR5000	-	microRNA 5000	ncRNA
chr8-5	chr8	29630966	29631198	+	33.7	0.862	intron (NR_125815, intron 1 of 3)	intron (NR_125815, intron 1 of 3)	25257	NR_125816	101929450	Hs.512440	NR_125814	ENSG00000253490	LINC02099	-	long intergenic non-protein coding RNA 2099	ncRNA
chr7-4	chr7	143102297	143102529	+	33.5	0.864	intron (NM_005232, intron 2 of 17)	intron (NM_005232, intron 2 of 17)	-2493	NR_033897	285965	Hs.642649	NR_033897	ENSG00000229153	EPHA1-AS1	-	EPHA1 antisense RNA 1	ncRNA
chr1-9	chr1	43428787	43429019	+	33.2	0.818	intron (NR_033967, intron 1 of 3)	intron (NR_033967, intron 1 of 3)	-4056	NM_006516	6513	Hs.473721	NM_006516	ENSG00000117394	SLC2A1	CSE|DYT17|DYT18|DYT9|EIG12|GLUT|GLUT-1|GLUT1|GLUT1DS|HTLVR|PED|SDCHCN	solute carrier family 2 member 1	protein-coding
chr2-12	chr2	231515192	231515424	+	33.2	0.941	Intergenic	Intergenic	49936	NR_040038	151475	Hs.528154	NR_040038	ENSG00000226125	LINC01907	-	long intergenic non-protein coding RNA 1907	ncRNA
chr8-6	chr8	129488035	129488267	+	33.1	0.906	intron (NR_121672, intron 2 of 7)	intron (NR_121672, intron 2 of 7)	88774	NR_121673	101927774	Hs.628730	NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
chr14-1	chr14	100029554	100029786	+	32.7	0.790	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	41057	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
chr16-25	chr16	63729350	63729582	+	32.5	0.824	Intergenic	Intergenic	1426574	NM_001330576	1009	Hs.116471	NM_001797	ENSG00000140937	CDH11	CAD11|CDHOB|OB|OSF-4	cadherin 11	protein-coding
chr13-1	chr13	39330034	39330266	+	32.5	0.885	intron (NM_207361, intron 2 of 23)	intron (NM_207361, intron 2 of 23)	68977	NM_207361	341640	Hs.253994	NM_207361	ENSG00000150893	FREM2	FRASRS2	FRAS1 related extracellular matrix protein 2	protein-coding
chr17-3	chr17	74102165	74102397	+	32.3	0.922	Intergenic	MIRb|SINE|MIR	-2413	NM_001145299	23265	Hs.514496	NM_015219	ENSG00000182473	EXOC7	2-5-3p|BLOM4|EX070|EXO70|EXOC1|Exo70p|YJL085W	exocyst complex component 7	protein-coding
chr20-4	chr20	57626824	57627056	+	32.2	0.868	Intergenic	Intergenic	-9039	NM_016045	51012	Hs.656865	NM_016045	ENSG00000101166	PRELID3B	C20orf45|SLMO2|dJ543J19.5	PRELI domain containing 3B	protein-coding
chr8-7	chr8	61760857	61761089	+	32.1	0.843	intron (NM_017780, intron 23 of 37)	intron (NM_017780, intron 23 of 37)	107155	NM_001316690	55636	Hs.20395	NM_017780	ENSG00000171316	CHD7	CRG|HH5|IS3|KAL5	chromodomain helicase DNA binding protein 7	protein-coding
chr20-6	chr20	16005832	16006064	+	32.1	0.900	intron (NM_001033087, intron 11 of 13)	intron (NM_001033087, intron 11 of 13)	-39421	NR_130924	613266	Hs.309149	NR_130924		LOC613266	-	uncharacterized LOC613266	ncRNA
chr20-5	chr20	20529412	20529644	+	32.0	0.732	intron (NM_020343, intron 23 of 39)	intron (NM_020343, intron 23 of 39)	163738	NM_020343	57186	Hs.472285	NM_020343	ENSG00000188559	RALGAPA2	AS250|C20orf74|bA287B20.1|dJ1049G11|dJ1049G11.4|p220	Ral GTPase activating protein catalytic alpha subunit 2	protein-coding
chr1-10	chr1	73877293	73877525	+	31.7	0.881	Intergenic	Intergenic	105556	NR_110677	101927295	Hs.436589	NR_110676	ENSG00000233973	LINC01360	-	long intergenic non-protein coding RNA 1360	ncRNA
chr2-15	chr2	224410611	224410843	+	31.7	0.861	Intergenic	MER102c|DNA|hAT-Charlie	56490	NM_003469	7857	Hs.516726	NM_003469	ENSG00000171951	SCG2	CHGC|EM66|SN|SgII	secretogranin II	protein-coding
chr1-12	chr1	33829600	33829832	+	31.7	0.865	TTS (NR_125978)	TTS (NR_125978)	11478	NM_198040	1912	Hs.524271	NM_004427	ENSG00000134686	PHC2	EDR2|HPH2|PH2	polyhomeotic homolog 2	protein-coding
chr11-4	chr11	36274834	36275066	+	31.2	0.834	Intergenic	Intergenic	36049	NM_001307937	29099	Hs.99443	NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
chr1-15	chr1	19265262	19265494	+	31.2	0.864	intron (NM_001136265, intron 1 of 8)	intron (NM_001136265, intron 1 of 8)	17448	NM_001136265	126917	Hs.466625	NM_001136265	ENSG00000169991	IFFO2	-	intermediate filament family orphan 2	protein-coding
chr15-1	chr15	65337625	65337857	+	31.1	0.905	promoter-TSS (NM_178859)	promoter-TSS (NM_178859)	33	NM_178859	123264	Hs.27018	NM_178859	ENSG00000186198	SLC51B	OSTB|OSTBETA	solute carrier family 51 beta subunit	protein-coding
chr1-16	chr1	161981186	161981418	+	30.9	0.777	intron (NM_001297713, intron 3 of 7)	intron (NM_001297713, intron 3 of 7)	12953	NM_001347700	25903	Hs.507515	NM_015441	ENSG00000162745	OLFML2B	-	olfactomedin like 2B	protein-coding
chr12-2	chr12	32654934	32655166	+	30.9	0.865	promoter-TSS (NM_001304484)	promoter-TSS (NM_001304484)	73	NM_001330373	121512	Hs.117835	NM_139241	ENSG00000139132	FGD4	CMT4H|FRABP|ZFYVE6	FYVE, RhoGEF and PH domain containing 4	protein-coding
chr1-14	chr1	15466337	15466569	+	30.9	0.840	intron (NR_027136, intron 1 of 4)	intron (NR_027136, intron 1 of 4)	12507	NR_027136	200197	Hs.531424	NM_182534	ENSG00000175147	TMEM51-AS1	C1orf126	TMEM51 antisense RNA 1	ncRNA
chr17-5	chr17	39340810	39341042	+	30.8	0.759	exon (NM_033060, exon 1 of 2)	exon (NM_033060, exon 1 of 2)	221	NM_033060	85285	Hs.437079	NM_033060		KRTAP4-1	KAP4.1|KAP4.10|KRTAP4-10|KRTAP4.10	keratin associated protein 4-1	protein-coding
chr6-6	chr6	170553067	170553299	+	30.7	0.803	Intergenic	Intergenic	18474	NR_002787	154449	Hs.447751	NR_002787	ENSG00000230960	LOC154449	-	uncharacterized LOC154449	ncRNA
chr15-2	chr15	39432224	39432456	+	30.7	0.859	Intergenic	Intergenic	-110530	NR_144507	400360	Hs.376109	NM_207445	ENSG00000175746	C15orf54	-	chromosome 15 open reading frame 54 (putative)	ncRNA
chr22-2	chr22	29218871	29219103	+	30.6	0.826	Intergenic	Intergenic	-22427	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
chr7-5	chr7	24414834	24415066	+	30.5	0.915	Intergenic	MER74A|LTR|ERVL	91143	NM_000905	4852	Hs.1832	NM_000905	ENSG00000122585	NPY	PYY4	neuropeptide Y	protein-coding
chr6-7	chr6	170200865	170201097	+	29.5	0.816	non-coding (NR_026780, exon 3 of 3)	non-coding (NR_026780, exon 3 of 3)	-2060	NR_026781	401288	Hs.556095	NM_207502	ENSG00000229214	LINC00242	C6orf122|NCRNA00242|dJ266L20.5	long intergenic non-protein coding RNA 242	ncRNA
chr20-7	chr20	3780497	3780729	+	29.4	0.740	promoter-TSS (NM_001287524)	promoter-TSS (NM_001287524)	-96	NM_001287524	994	Hs.153752	NM_004358	ENSG00000101224	CDC25B	-	cell division cycle 25B	protein-coding
chr7-6	chr7	150528015	150528247	+	29.4	0.838	Intergenic	Intergenic	-21434	NM_001091	26	Hs.647097	NM_001091	ENSG00000002726	AOC1	ABP|ABP1|DAO|DAO1|KAO	amine oxidase, copper containing 1	protein-coding
chr14-2	chr14	100038844	100039076	+	29.3	0.859	intron (NM_001144995, intron 1 of 5)	intron (NM_001144995, intron 1 of 5)	31767	NM_001144995	317762	Hs.709288	NM_001144995	ENSG00000205476	CCDC85C	-	coiled-coil domain containing 85C	protein-coding
chr1-17	chr1	177397829	177398061	+	29.3	0.889	Intergenic	Intergenic	77223	NR_126001	102724661	Hs.146628	NR_126001		LINC01645	-	long intergenic non-protein coding RNA 1645	ncRNA
chr8-10	chr8	59697224	59697456	+	29.1	0.798	Intergenic	Intergenic	-124936	NM_003580	8439	Hs.372000	NM_003580	ENSG00000035681	NSMAF	FAN|GRAMD5	neutral sphingomyelinase activation associated factor	protein-coding
chr3-2	chr3	55034650	55034882	+	29.0	0.907	intron (NM_018398, intron 31 of 37)	intron (NM_018398, intron 31 of 37)	-33651	NM_001304389	57408	Hs.591668	NM_020678	ENSG00000144771	LRTM1	HT017	leucine rich repeats and transmembrane domains 1	protein-coding
chr19-4	chr19	38553969	38554201	+	29.0	0.726	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-99651	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
chr18-5	chr18	31382977	31383209	+	29.0	0.841	Intergenic	Intergenic	224552	NM_030632	80816	Hs.464876	NM_030632	ENSG00000141431	ASXL3	BRPS|KIAA1713	additional sex combs like 3, transcriptional regulator	protein-coding
chr7-7	chr7	82188815	82189047	+	28.8	0.869	Intergenic	Intergenic	-115809	NM_000722	781	Hs.282151	NM_000722	ENSG00000153956	CACNA2D1	CACNA2|CACNL2A|CCHL2A|LINC01112|lncRNA-N3	calcium voltage-gated channel auxiliary subunit alpha2delta 1	protein-coding
chr6-8	chr6	113886050	113886282	+	28.7	0.866	Intergenic	Intergenic	85111	NR_125844	101927686	Hs.402044	NR_125844	ENSG00000230943	LINC02541	-	long intergenic non-protein coding RNA 2541	ncRNA
chr6-9	chr6	20893113	20893345	+	28.6	0.833	intron (NM_017774, intron 9 of 15)	intron (NM_017774, intron 9 of 15)	358541	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
chr3-3	chr3	140803199	140803431	+	28.6	0.784	intron (NM_080862, intron 2 of 2)	intron (NM_080862, intron 2 of 2)	33071	NM_080862	92369	Hs.655112	NM_080862	ENSG00000175093	SPSB4	SSB-4|SSB4	splA/ryanodine receptor domain and SOCS box containing 4	protein-coding
chr10-17	chr10	2519416	2519648	+	28.4	0.809	intron (NR_136146, intron 1 of 2)	intron (NR_136146, intron 1 of 2)	24122	NR_136146	105376351	Hs.343482	NR_136146		LOC105376351	-	uncharacterized LOC105376351	ncRNA
chr22-3	chr22	26325331	26325563	+	28.3	0.862	intron (NM_032608, intron 34 of 43)	intron (NM_032608, intron 34 of 43)	187336	NM_032608	84700	Hs.417959	NM_032608	ENSG00000133454	MYO18B	KFS4	myosin XVIIIB	protein-coding
chr10-18	chr10	13801141	13801373	+	28.3	0.939	intron (NM_018027, intron 8 of 24)	intron (NM_018027, intron 8 of 24)	-51690	NM_001318338	55691	Hs.330463	NM_018027	ENSG00000151474	FRMD4A	CCAFCA|FRMD4|bA295P9.4	FERM domain containing 4A	protein-coding
chr10-19	chr10	47107676	47107908	+	28.3	0.679	intron (NR_033957, intron 1 of 3)	intron (NR_033957, intron 1 of 3)	21067	NM_001278795	100996758	Hs.524719	NM_001278795	ENSG00000264717	NPY4R2	CH17-360D5.1	neuropeptide Y receptor Y4-2	protein-coding
chr6-10	chr6	20699713	20699945	+	28.2	0.876	intron (NM_017774, intron 5 of 15)	intron (NM_017774, intron 5 of 15)	165141	NM_017774	54901	Hs.657604	NM_017774	ENSG00000145996	CDKAL1	-	CDK5 regulatory subunit associated protein 1 like 1	protein-coding
chr1-18	chr1	37036715	37036947	+	28.1	0.617	Intergenic	(CAGCT)n|Simple_repeat|Simple_repeat	-87916	NM_172313	1441	Hs.524517	NM_000760	ENSG00000119535	CSF3R	CD114|GCSFR|SCN7	colony stimulating factor 3 receptor	protein-coding
chr5-3	chr5	17415337	17415569	+	28.1	0.908	intron (NR_134274, intron 1 of 1)	intron (NR_134274, intron 1 of 1)	11198	NR_134274	101929544	Hs.23725	NR_134273	ENSG00000248455	LINC02217	-	long intergenic non-protein coding RNA 2217	ncRNA
chr12-3	chr12	5965408	5965640	+	28.0	0.833	intron (NM_001278596, intron 3 of 25)	Charlie25|DNA|hAT-Charlie	88901	NM_001278596	57101	Hs.148970	NM_020373	ENSG00000047617	ANO2	C12orf3|TMEM16B	anoctamin 2	protein-coding
chr8-11	chr8	103980877	103981109	+	27.9	0.914	intron (NR_126338, intron 3 of 3)	intron (NR_126338, intron 3 of 3)	-52255	NM_001695	528	Hs.86905	NM_001695	ENSG00000155097	ATP6V1C1	ATP6C|ATP6D|VATC|Vma5	ATPase H+ transporting V1 subunit C1	protein-coding
chr17-6	chr17	46068317	46068549	+	27.9	0.855	Intergenic	Intergenic	20111	NM_001278198	80279	Hs.20157	NM_025197	ENSG00000108465	CDK5RAP3	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CDK5 regulatory subunit associated protein 3	protein-coding
chr19-5	chr19	38564804	38565036	+	27.9	0.835	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-88816	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
chr4-4	chr4	184644401	184644633	+	27.7	0.879	Intergenic	Intergenic	64097	NM_021942	60684	Hs.443240	NM_021942	ENSG00000168538	TRAPPC11	C4orf41|FOIGR|GRY|LGMD2S	trafficking protein particle complex 11	protein-coding
chr2-17	chr2	43690260	43690492	+	27.7	0.870	intron (NM_001345924, intron 26 of 37)	intron (NM_001345924, intron 26 of 37)	132737	NM_001271643	63892	Hs.369592	NM_022065	ENSG00000115970	THADA	ARMC13|GITA	THADA, armadillo repeat containing	protein-coding
chr2-18	chr2	133339528	133339760	+	27.3	0.822	intron (NM_001508, intron 1 of 1)	intron (NM_001508, intron 1 of 1)	88299	NM_001321234	116372	Hs.432395	NM_144586	ENSG00000150551	LYPD1	LYPDC1|PHTS	LY6/PLAUR domain containing 1	protein-coding
chr16-30	chr16	46952857	46953089	+	27.1	0.842	intron (NM_001142466, intron 8 of 11)	intron (NM_001142466, intron 8 of 11)	-32587	NR_145840	109623466		NR_145840		SNORD148	-	small nucleolar RNA, C/D box 148	snoRNA
chr15-3	chr15	89658858	89659090	+	27.1	0.868	intron (NM_007011, intron 6 of 14)	intron (NM_007011, intron 6 of 14)	27593	NM_007011	11057	Hs.122337	NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2	protein-coding
chr14-3	chr14	59130344	59130576	+	26.9	0.827	Intergenic	Intergenic	24905	NR_046095	51339	Hs.48950	NM_016651	ENSG00000165617	DACT1	DAPPER|DAPPER1|DPR1|FRODO|HDPR1|TBS2|THYEX3	dishevelled binding antagonist of beta catenin 1	protein-coding
chr5-4	chr5	127089948	127090180	+	26.8	0.864	exon (NM_001317938, exon 3 of 7)	exon (NM_001317938, exon 3 of 7)	50983	NM_001317938	728586	Hs.582532	NM_001317938	ENSG00000230561	CCDC192	LINC01183	coiled-coil domain containing 192	protein-coding
chr15-4	chr15	76971943	76972175	+	26.7	0.903	intron (NM_020843, intron 20 of 31)	intron (NM_020843, intron 20 of 31)	93071	NR_037464	100500855		NR_037464	ENSG00000266449	MIR3713	-	microRNA 3713	ncRNA
chr9-2	chr9	129191518	129191750	+	26.7	0.825	intron (NM_033446, intron 7 of 9)	intron (NM_033446, intron 7 of 9)	-18851	NR_045006	641373	Hs.742606	NR_045006		NRON	NCRNA00194	non-protein coding RNA, repressor of NFAT	ncRNA
chr3-4	chr3	63062047	63062279	+	26.5	0.842	Intergenic	Intergenic	-26201	NR_027104	285401	Hs.211125	NR_027104	ENSG00000244342	LINC00698	-	long intergenic non-protein coding RNA 698	ncRNA
chr15-5	chr15	93160797	93161029	+	26.2	0.840	3' UTR (NM_207446, exon 3 of 3)	3' UTR (NM_207446, exon 3 of 3)	38118	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
chr17-7	chr17	72369990	72370222	+	26.2	0.922	Intergenic	Intergenic	6461	NM_181790	350383	Hs.574368	NM_181790	ENSG00000257008	GPR142	GPRg1b|PGR2	G protein-coupled receptor 142	protein-coding
chr19-6	chr19	38548764	38548996	+	26.1	0.855	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-104856	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
chr5-5	chr5	93127168	93127400	+	26.1	0.919	intron (NM_001163417, intron 7 of 9)	intron (NM_001163417, intron 7 of 9)	-49975	NM_153216	134187	Hs.678995	NM_153216	ENSG00000248483	POU5F2	SPRM-1	POU domain class 5, transcription factor 2	protein-coding
chr1-19	chr1	232059913	232060145	+	26.0	0.872	intron (NM_001164541, intron 9 of 9)	intron (NM_001164541, intron 9 of 9)	-1551	NR_126441	104472714		NR_126441	ENSG00000226758	DISC1-IT1	-	DISC1 intronic transcript 1	ncRNA
chr15-6	chr15	53421819	53422051	+	26.0	0.870	TTS (NR_147181)	TTS (NR_147181)	13373	NR_147181	105370822	Hs.527821	NR_147181	ENSG00000259237	LINC02490	-	long intergenic non-protein coding RNA 2490	ncRNA
chr2-20	chr2	143230079	143230311	+	26.0	0.890	Intergenic	Intergenic	-340925	NM_018557	53353	Hs.656461	NM_018557	ENSG00000168702	LRP1B	LRP-1B|LRP-DIT|LRPDIT	LDL receptor related protein 1B	protein-coding
chr5-6	chr5	115890584	115890816	+	25.9	0.885	intron (NM_020796, intron 1 of 18)	LFSINE_Vert|SINE|SINE	-19414	NR_147170	105379132		NR_147170		SEMA6A-AS2	-	SEMA6A antisense RNA 2	ncRNA
chr4-5	chr4	100457585	100457817	+	25.7	0.760	intron (NM_032149, intron 5 of 8)	L1PA10|LINE|L1	25540	NM_032149	84103	Hs.97501	NM_032149	ENSG00000138813	C4orf17	-	chromosome 4 open reading frame 17	protein-coding
chr14-4	chr14	70104384	70104616	+	25.6	0.929	intron (NM_014734, intron 1 of 5)	intron (NM_014734, intron 1 of 5)	26190	NM_014734	9766	Hs.440025	NM_014734	ENSG00000100647	SUSD6	DRAGO|KIAA0247	sushi domain containing 6	protein-coding
chr1-20	chr1	53983634	53983866	+	25.5	0.847	intron (NM_147193, intron 6 of 9)	intron (NM_147193, intron 6 of 9)	58678	NM_033067	63948	Hs.131654	NM_033067	ENSG00000143006	DMRTB1	-	DMRT like family B with proline rich C-terminal 1	protein-coding
chr12-4	chr12	28355633	28355865	+	25.4	0.859	intron (NM_001352079, intron 2 of 14)	L1M4|LINE|L1	-12078	NR_148936	729291	Hs.129278	NR_148936		LOC729291	-	uncharacterized LOC729291	ncRNA
chr6-11	chr6	159179470	159179702	+	25.3	0.889	intron (NM_001009991, intron 13 of 16)	intron (NM_001009991, intron 13 of 16)	6199	NR_037482	100500851		NR_037482	ENSG00000265558	MIR3918	mir-3918	microRNA 3918	ncRNA
chr10-20	chr10	26554738	26554970	+	25.3	0.802	intron (NM_000818, intron 8 of 16)	intron (NM_000818, intron 8 of 16)	49618	NM_000818	2572	Hs.231829	NM_000818	ENSG00000136750	GAD2	GAD65	glutamate decarboxylase 2	protein-coding
chr11-5	chr11	115906886	115907118	+	25.1	0.818	Intergenic	Intergenic	-276084	NR_034148	283143	Hs.130499	NR_034148		LINC00900	-	long intergenic non-protein coding RNA 900	ncRNA
chr6-12	chr6	43815373	43815605	+	25.0	0.822	intron (NR_149142, intron 3 of 3)	intron (NR_149142, intron 3 of 3)	4581	NR_149142	285857	Hs.582798	NR_149142	ENSG00000283215	LINC02537	-	long intergenic non-protein coding RNA 2537	ncRNA
chr10-21	chr10	77878812	77879044	+	25.0	0.861	intron (NM_001305581, intron 5 of 6)	intron (NM_001305581, intron 5 of 6)	336409	NM_032024	83938	Hs.118161	NM_032024	ENSG00000148655	LRMDA	C10orf11|CDA017	leucine rich melanocyte differentiation associated	protein-coding
