PeakID (cmd=annotatePeaks.pl GSE106949_XM001-PP_PDX1_CTTGTA_GEM_events_Filtered_Merged.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
17:41656509	chr17	41656410	41656610	+	773	NA	Intergenic	Intergenic	-32802	NM_001261437	2118	Hs.434059	NM_001986	ENSG00000175832	ETV4	E1A-F|E1AF|PEA3|PEAS3	ETS variant 4	protein-coding
12:31926504	chr12	31926405	31926605	+	773	NA	Intergenic	Intergenic	18727	NM_001013699	440093	Hs.448697	NM_001013699	ENSG00000188375	H3F3C	H3.5	H3 histone family member 3C	protein-coding
18:54808896,18:54809096	chr18	54808797	54809197	+	770	NA	Intergenic	Intergenic	-5321	NM_001257964	284257	Hs.127882	NM_001257964	ENSG00000228075	BOD1L2	BOD1P|FAM44C	biorientation of chromosomes in cell division 1 like 2	protein-coding
15:37180415	chr15	37180316	37180516	+	758	NA	TTS (NM_170677)	TTS (NM_170677)	-1682	NR_024264	145845	Hs.302693	NM_001101327		LOC145845	-	uncharacterized LOC145845	ncRNA
19:38553806	chr19	38553707	38553907	+	752	NA	intron (NM_015073, intron 2 of 21)	intron (NM_015073, intron 2 of 21)	-99929	NR_145800	109623473		NR_145800		SNORD152	-	small nucleolar RNA, C/D box 152	snoRNA
7:86769828	chr7	86769729	86769929	+	745	NA	Intergenic	MLT1J|LTR|ERVL-MaLR	11804	NR_136252	101927420	Hs.633960	NR_136252	ENSG00000224046	LOC101927420	-	uncharacterized LOC101927420	ncRNA
8:102644100	chr8	102644001	102644201	+	745	NA	intron (NM_024915, intron 10 of 15)	intron (NM_024915, intron 10 of 15)	139434	NM_024915	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|PPCD4|TFCP2L3	grainyhead like transcription factor 2	protein-coding
9:134683122	chr9	134683023	134683223	+	745	NA	Intergenic	Intergenic	-67792	NM_001304275	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
6:58777649	chr6	58777550	58777750	+	742	NA	Intergenic	ALR/Alpha|Satellite|centr	-489926	NR_132998	106660613	Hs.561539	NR_003660	ENSG00000283352	LINC00680-GUSBP4	-	LINC00680-GUSBP4 readthrough	pseudo
1:8763686	chr1	8763587	8763787	+	742	NA	intron (NM_001042681, intron 1 of 22)	intron (NM_001042681, intron 1 of 22)	114012	NM_012102	473	Hs.463041	NM_012102	ENSG00000142599	RERE	ARG|ARP|ATN1L|DNB1|NEDBEH	arginine-glutamic acid dipeptide repeats	protein-coding
10:29977206	chr10	29977107	29977307	+	730	NA	intron (NM_001323599, intron 1 of 38)	intron (NM_001323599, intron 1 of 38)	47523	NM_003174	6840	Hs.499209	NM_003174	ENSG00000197321	SVIL	-	supervillin	protein-coding
5:151337852	chr5	151337753	151337953	+	730	NA	promoter-TSS (NR_109876)	promoter-TSS (NR_109876)	-606	NR_109876	101927115	Hs.549665	NR_109876	ENSG00000254226	LINC01933	CTB-12O2.1	long intergenic non-protein coding RNA 1933	ncRNA
9:101935113	chr9	101935014	101935214	+	727	NA	Intergenic	Intergenic	49110	NR_024532	85365	Hs.40919	NM_033087	ENSG00000119523	ALG2	CDG1I|CDGIi|CMS14|CMSTA3|NET38|hALPG2	ALG2 alpha-1,3/1,6-mannosyltransferase	protein-coding
5:123998160	chr5	123998061	123998261	+	724	NA	intron (NM_020747, intron 2 of 8)	intron (NM_020747, intron 2 of 8)	82644	NM_020747	57507	Hs.266616	NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
1:62744922	chr1	62744823	62745023	+	724	NA	intron (NM_181712, intron 2 of 9)	intron (NM_181712, intron 2 of 9)	40182	NM_001320269	163782	Hs.283398	NM_181712	ENSG00000132854	KANK4	ANKRD38|dJ1078M7.1	KN motif and ankyrin repeat domains 4	protein-coding
17:42687846	chr17	42687747	42687947	+	715	NA	Intergenic	Intergenic	39870	NR_110661	101927017	Hs.560554	NR_110661	ENSG00000266979	LINC01180	-	long intergenic non-protein coding RNA 1180	ncRNA
2:43269167,2:43269360	chr2	43269068	43269461	+	707	NA	Intergenic	Intergenic	-2582	NR_110585	102723854	Hs.570165	NR_110585	ENSG00000231826	LINC01819	-	long intergenic non-protein coding RNA 1819	ncRNA
1:164561240	chr1	164561141	164561341	+	696	NA	intron (NM_001204963, intron 2 of 8)	intron (NM_001204963, intron 2 of 8)	32282	NM_001353130	5087	Hs.557097	NM_002585	ENSG00000185630	PBX1	CAKUHED	PBX homeobox 1	protein-coding
6:150390291	chr6	150390192	150390392	+	693	NA	promoter-TSS (NM_024518)	promoter-TSS (NM_024518)	-35	NM_024518	79465	Hs.15422	NM_024518	ENSG00000131019	ULBP3	N2DL-3|NKG2DL3|RAET1N	UL16 binding protein 3	protein-coding
7:61968977,7:61969051,7:61969339,7:61969514	chr7	61968878	61969615	+	692	NA	Intergenic	ALR/Alpha|Satellite|centr	795188	NR_003952	643955	Hs.583308	NR_003952	ENSG00000185037	ZNF733P	ZNF733	zinc finger protein 733, pseudogene	pseudo
16:85746503,16:85746574	chr16	85746404	85746675	+	683	NA	intron (NR_161452, intron 2 of 4)	MER77|LTR|ERVL	-23979	NM_016095	51659	Hs.433180	NM_016095	ENSG00000131153	GINS2	HSPC037|PSF2|Pfs2	GINS complex subunit 2	protein-coding
17:46059768,17:46059906	chr17	46059669	46060007	+	676	NA	TTS (NM_001278197)	TTS (NM_001278197)	11359	NM_001278198	80279	Hs.20157	NM_025197	ENSG00000108465	CDK5RAP3	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CDK5 regulatory subunit associated protein 3	protein-coding
6:155406948	chr6	155406849	155407049	+	672	NA	Intergenic	Intergenic	-4474	NM_012454	26230	Hs.586279	NM_012454	ENSG00000146426	TIAM2	STEF|TIAM-2	T cell lymphoma invasion and metastasis 2	protein-coding
5:18433616	chr5	18433517	18433717	+	671	NA	Intergenic	Intergenic	626234	NR_134286	646241	Hs.407197	NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
20:11668121	chr20	11668022	11668222	+	662	NA	Intergenic	Intergenic	183241	NR_110635	728450	Hs.560990	NR_110635	ENSG00000228422	LINC00687	C20orf61|dJ1012F16.1	long intergenic non-protein coding RNA 687	ncRNA
14:103588554	chr14	103588455	103588655	+	660	NA	intron (NR_138038, intron 1 of 1)	intron (NR_138038, intron 1 of 1)	691	NR_138038	105370683	Hs.252904	NR_138038	ENSG00000259717	LINC00677	C14orf74	long intergenic non-protein coding RNA 677	ncRNA
1:47943991	chr1	47943892	47944092	+	660	NA	Intergenic	Intergenic	-41003	NR_126355	102724077	Hs.159718	NR_126355		LINC01389	-	long intergenic non-protein coding RNA 1389	ncRNA
16:85202557	chr16	85202458	85202658	+	660	NA	Intergenic	CpG	31802	NR_033984	400548	Hs.592054	NR_033984	ENSG00000278214	LINC02139	-	long intergenic non-protein coding RNA 2139	ncRNA
14:70404327	chr14	70404228	70404428	+	657	NA	intron (NM_001034852, intron 1 of 11)	intron (NM_001034852, intron 1 of 11)	-40522	NR_145786	109623479		NR_145786		SNORD169	-	small nucleolar RNA, C/D box 169	snoRNA
12:119617716	chr12	119617617	119617817	+	654	NA	intron (NM_014365, intron 1 of 2)	LTR50|LTR|ERVL	1122	NM_014365	26353	Hs.400095	NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HSP22	heat shock protein family B (small) member 8	protein-coding
10:80095582	chr10	80095483	80095683	+	651	NA	Intergenic	Intergenic	68484	NR_073447	414243	Hs.55047	NR_073447	ENSG00000230417	LINC00595	C10orf101	long intergenic non-protein coding RNA 595	ncRNA
1:118939962	chr1	118939863	118940063	+	651	NA	Intergenic	Intergenic	-212112	NM_206996	200162	Hs.528821	NM_206996	ENSG00000155761	SPAG17	CT143|PF6	sperm associated antigen 17	protein-coding
15:83974901,15:83974919	chr15	83974802	83975020	+	649	NA	Intergenic	Intergenic	-21495	NM_001717	646	Hs.459153	NM_001717	ENSG00000169594	BNC1	BNC|BSN1|HsT19447	basonuclin 1	protein-coding
1:10764767	chr1	10764668	10764868	+	647	NA	intron (NM_001079843, intron 3 of 20)	CpG	91935	NM_017766	54897	Hs.439894	NM_017766	ENSG00000130940	CASZ1	CAS11|CST|SRG|ZNF693|dJ734G22.1	castor zinc finger 1	protein-coding
8:11486492	chr8	11486393	11486593	+	647	NA	Intergenic	Intergenic	-47951	NM_001308094	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
1:224872751,1:224872832	chr1	224872652	224872933	+	646	NA	intron (NR_136287, intron 3 of 4)	intron (NR_136287, intron 3 of 4)	68773	NR_136287	149111	Hs.731723	NM_152495	ENSG00000143786	CNIH3	CNIH-3	cornichon family AMPA receptor auxiliary protein 3	protein-coding
21:37005964	chr21	37005865	37006065	+	644	NA	Intergenic	Intergenic	-52903	NR_073512	100506403	Hs.536609	NR_073512	ENSG00000159216	LOC100506403	-	uncharacterized LOC100506403	ncRNA
2:30441036	chr2	30440937	30441137	+	644	NA	Intergenic	Intergenic	-13363	NM_030915	81606	Hs.567598	NM_030915	ENSG00000213626	LBH	-	LBH regulator of WNT signaling pathway	protein-coding
4:140587138	chr4	140587039	140587239	+	641	NA	5' UTR (NM_002413, exon 1 of 5)	5' UTR (NM_002413, exon 1 of 5)	166	NM_002413	4258	Hs.81874	NM_002413	ENSG00000085871	MGST2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
11:71829745	chr11	71829646	71829846	+	629	NA	Intergenic	MER51D|LTR|ERV1	-5924	NM_001278488	25906	Hs.38044	NM_014042	ENSG00000110200	ANAPC15	APC15|C11orf51|HSPC020	anaphase promoting complex subunit 15	protein-coding
1:11105869	chr1	11105770	11105970	+	623	NA	intron (NM_006610, intron 3 of 10)	MIRc|SINE|MIR	1426	NM_006610	10747	Hs.655645	NM_006610	ENSG00000009724	MASP2	MAP19|MASP-2|MASP1P1|sMAP	mannan binding lectin serine peptidase 2	protein-coding
10:89307599	chr10	89307500	89307700	+	623	NA	intron (NM_004897, intron 4 of 4)	intron (NM_004897, intron 4 of 4)	40010	NM_001178118	9562	Hs.121260	NM_004897	ENSG00000107789	MINPP1	HIPER1|MINPP2|MIPP	multiple inositol-polyphosphate phosphatase 1	protein-coding
15:90548536	chr15	90548437	90548637	+	620	NA	intron (NM_198526, intron 1 of 4)	intron (NM_198526, intron 1 of 4)	-1450	NR_036135	100422841		NR_036135	ENSG00000265871	MIR3174	-	microRNA 3174	ncRNA
12:53835425	chr12	53835326	53835526	+	620	NA	promoter-TSS (NM_018457)	promoter-TSS (NM_018457)	-7	NM_001005354	54458	Hs.744894	NM_018457	ENSG00000205352	PRR13	TXR1	proline rich 13	protein-coding
7:47803279	chr7	47803180	47803380	+	620	NA	intron (NR_038407, intron 2 of 2)	intron (NR_038407, intron 2 of 2)	2206	NR_038407	84847	Hs.488236	NR_038407	ENSG00000146666	LINC00525	-	long intergenic non-protein coding RNA 525	ncRNA
16:51985976	chr16	51985877	51986077	+	620	NA	Intergenic	Intergenic	121870	NM_001242473	388276	Hs.534669	NM_001242473		C16orf97	-	chromosome 16 open reading frame 97	protein-coding
9:73129399,9:73129451	chr9	73129300	73129552	+	620	NA	Intergenic	Intergenic	-99853	NM_001206	687	Hs.150557	NM_001206	ENSG00000119138	KLF9	BTEB|BTEB1	Kruppel like factor 9	protein-coding
3:71410777,3:71410815	chr3	71410678	71410916	+	618	NA	intron (NR_146142, intron 3 of 19)	intron (NR_146142, intron 3 of 19)	-56875	NM_001244812	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
9:101932413	chr9	101932314	101932514	+	617	NA	Intergenic	Intergenic	51810	NR_024532	85365	Hs.40919	NM_033087	ENSG00000119523	ALG2	CDG1I|CDGIi|CMS14|CMSTA3|NET38|hALPG2	ALG2 alpha-1,3/1,6-mannosyltransferase	protein-coding
2:173204420	chr2	173204321	173204521	+	617	NA	Intergenic	HAL1|LINE|L1	-87643	NM_001316306	3655	Hs.133397	NM_000210	ENSG00000091409	ITGA6	CD49f|ITGA6B|VLA-6	integrin subunit alpha 6	protein-coding
6:88876437	chr6	88876338	88876538	+	617	NA	promoter-TSS (NM_001370545)	promoter-TSS (NM_001370545)	-67	NM_001370545	1268	Hs.75110	NM_016083	ENSG00000118432	CNR1	CANN6|CB-R|CB1|CB1A|CB1K5|CB1R|CNR	cannabinoid receptor 1	protein-coding
1:92285244	chr1	92285145	92285345	+	617	NA	intron (NR_036634, intron 2 of 17)	intron (NR_036634, intron 2 of 17)	66463	NR_036634	7049	Hs.482390	NM_003243	ENSG00000069702	TGFBR3	BGCAN|betaglycan	transforming growth factor beta receptor 3	protein-coding
2:85992683	chr2	85992584	85992784	+	614	NA	intron (NM_032827, intron 2 of 2)	intron (NM_032827, intron 2 of 2)	11570	NM_032827	84913	Hs.135569	NM_032827	ENSG00000168874	ATOH8	HATH6|bHLHa21	atonal bHLH transcription factor 8	protein-coding
8:22077574	chr8	22077475	22077675	+	614	NA	non-coding (NR_156475, exon 6 of 6)	non-coding (NR_156475, exon 6 of 6)	12037	NM_014759	9796	Hs.334688	NM_014759	ENSG00000168490	PHYHIP	DYRK1AP3|PAHX-AP|PAHXAP1	phytanoyl-CoA 2-hydroxylase interacting protein	protein-coding
17:39114556	chr17	39114457	39114657	+	608	NA	TTS (NM_213656)	TTS (NM_213656)	8643	NM_213656	390792	Hs.28467	NM_213656	ENSG00000196859	KRT39	CK-39|K39|KA35	keratin 39	protein-coding
16:59157566	chr16	59157467	59157667	+	608	NA	Intergenic	Intergenic	-389347	NM_001286220	2806	Hs.599470	NM_002080	ENSG00000125166	GOT2	KAT4|KATIV|KYAT4|mitAAT	glutamic-oxaloacetic transaminase 2	protein-coding
6:73152199	chr6	73152100	73152300	+	608	NA	Intergenic	Intergenic	75752	NM_001168411	22999	Hs.485729	NM_014989	ENSG00000079841	RIMS1	CORD7|RAB3IP2|RIM|RIM1	regulating synaptic membrane exocytosis 1	protein-coding
22:30183707	chr22	30183608	30183808	+	608	NA	TTS (NM_001369925)	TTS (NM_001369925)	20350	NM_013387	29796	Hs.284292	NM_013387	ENSG00000184076	UQCR10	HSPC051|HSPC119|HSPC151|QCR9|UCCR7.2|UCRC	ubiquinol-cytochrome c reductase, complex III subunit X	protein-coding
11:117014982	chr11	117014883	117015083	+	605	NA	promoter-TSS (NR_110268)	promoter-TSS (NR_110268)	-17	NM_001184748	5049	Hs.728488	NM_002572	ENSG00000168092	PAFAH1B2	HEL-S-303	platelet activating factor acetylhydrolase 1b catalytic subunit 2	protein-coding
5:53611684	chr5	53611585	53611785	+	602	NA	Intergenic	Intergenic	-5089	NR_126379	104355136	Hs.559024	NR_126379	ENSG00000249069	LINC01033	-	long intergenic non-protein coding RNA 1033	ncRNA
8:139280321	chr8	139280222	139280422	+	598	NA	intron (NM_015912, intron 3 of 19)	MIRb|SINE|MIR	-184534	NR_161374	401478	Hs.654931	NM_001354876		LOC401478	-	uncharacterized LOC401478	ncRNA
3:14646806	chr3	14646707	14646907	+	595	NA	Intergenic	Intergenic	-46446	NR_135523	51244	Hs.517820	NM_016474	ENSG00000154781	CCDC174	C3orf19|HSPC212|IHPM|IHPMR	coiled-coil domain containing 174	protein-coding
10:77054620,10:77054768	chr10	77054521	77054869	+	594	NA	intron (NR_120651, intron 1 of 3)	CpG	-1446	NR_038225	253264	Hs.662111	NR_038223	ENSG00000226051	ZNF503-AS1	-	ZNF503 antisense RNA 1	ncRNA
4:26344198	chr4	26344099	26344299	+	589	NA	intron (NM_001363577, intron 1 of 10)	intron (NM_001363577, intron 1 of 10)	21349	NM_001363577	3516	Hs.479396	NM_005349	ENSG00000168214	RBPJ	AOS3|CBF1|IGKJRB|IGKJRB1|KBF2|RBP-J|RBPJK|RBPSUH|SUH|csl	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
6:8230277	chr6	8230178	8230378	+	589	NA	Intergenic	Intergenic	-127450	NR_037618	100526837	Hs.719272	NR_037618		EEF1E1-BLOC1S5	EEF1E1-MUTED	EEF1E1-BLOC1S5 readthrough (NMD candidate)	ncRNA
X:106243506	chrX	106243407	106243607	+	589	NA	promoter-TSS (NM_001085354)	promoter-TSS (NM_001085354)	-65	NM_024657	79710	Hs.496544	NM_024657	ENSG00000133131	MORC4	ZCW4|ZCWCC2|dJ75H8.2	MORC family CW-type zinc finger 4	protein-coding
12:131201033	chr12	131200934	131201134	+	586	NA	promoter-TSS (NM_001351229)	promoter-TSS (NM_001351229)	-184	NM_001351233	23504	Hs.657441	NM_015347	ENSG00000060709	RIMBP2	PPP1R133|RBP2|RIM-BP2	RIMS binding protein 2	protein-coding
12:119740385	chr12	119740286	119740486	+	583	NA	intron (NR_024246, intron 1 of 3)	intron (NR_024246, intron 1 of 3)	799	NR_024246	144742	Hs.524782	NR_024246	ENSG00000281196	LINC00934	-	long intergenic non-protein coding RNA 934	ncRNA
14:22801375,14:22801652	chr14	22801276	22801753	+	582	NA	Intergenic	Intergenic	100231	NR_148363	105370401	Hs.435144	NR_148361		LOC105370401	-	uncharacterized LOC105370401	ncRNA
19:31828127	chr19	31828028	31828228	+	577	NA	intron (NR_138034, intron 1 of 1)	intron (NR_138034, intron 1 of 1)	12214	NR_138034	57616	Hs.278436	NM_020856	ENSG00000121297	TSHZ3	TSH3|ZNF537	teashirt zinc finger homeobox 3	protein-coding
18:903852	chr18	903753	903953	+	577	NA	Intergenic	Intergenic	-1019	NM_001099733	116	Hs.531719	NM_001117	ENSG00000141433	ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1	protein-coding
3:189055725	chr3	189055626	189055826	+	577	NA	Intergenic	Intergenic	-97343	NR_046722	100874027	Hs.616080	NR_046722	ENSG00000230115	TPRG1-AS2	-	TPRG1 antisense RNA 2	ncRNA
7:42194522	chr7	42194423	42194623	+	574	NA	intron (NM_000168, intron 2 of 14)	intron (NM_000168, intron 2 of 14)	82285	NM_000168	2737	Hs.21509	NM_000168	ENSG00000106571	GLI3	ACLS|GCPS|GLI3-190|GLI3FL|PAP-A|PAPA|PAPA1|PAPB|PHS|PPDIV	GLI family zinc finger 3	protein-coding
13:75650787	chr13	75650688	75650888	+	571	NA	Intergenic	Intergenic	163729	NR_027466	647288	Hs.567920	NR_027466	ENSG00000214249	CTAGE11P	-	CTAGE family member 11, pseudogene	pseudo
20:57627058	chr20	57626959	57627159	+	571	NA	Intergenic	Intergenic	-9158	NR_037930	100533975	Hs.656865	NR_037929		SLMO2-ATP5E	-	SLMO2-ATP5E readthrough	ncRNA
15:47488473	chr15	47488374	47488574	+	571	NA	intron (NM_001198999, intron 1 of 19)	intron (NM_001198999, intron 1 of 19)	12188	NM_001198999	80031	Hs.511265	NM_020858	ENSG00000137872	SEMA6D	-	semaphorin 6D	protein-coding
3:134083126	chr3	134083027	134083227	+	571	NA	intron (NM_016201, intron 5 of 9)	CpG	3577	NR_106885	102466744		NR_106885	ENSG00000277723	MIR6827	hsa-mir-6827	microRNA 6827	ncRNA
6:117254771	chr6	117254672	117254872	+	571	NA	Intergenic	Intergenic	56367	NM_173560	222546	Hs.352276	NM_173560	ENSG00000185002	RFX6	MTCHRS|MTFS|RFXDC1|dJ955L16.1	regulatory factor X6	protein-coding
17:38267618	chr17	38267519	38267719	+	571	NA	Intergenic	Intergenic	-10605	NM_001365920	339287	Hs.532786	NM_001012241	ENSG00000188895	MSL1	MSL-1	MSL complex subunit 1	protein-coding
2:67282134	chr2	67282035	67282235	+	568	NA	Intergenic	Intergenic	-31443	NR_110564	102800447	Hs.144196	NR_110564		LINC01828	-	long intergenic non-protein coding RNA 1828	ncRNA
11:12204497	chr11	12204398	12204598	+	568	NA	intron (NR_144420, intron 3 of 27)	intron (NR_144420, intron 3 of 27)	19268	NR_106739	102466906		NR_106739	ENSG00000275373	MIR6124	hsa-mir-6124	microRNA 6124	ncRNA
2:218154800	chr2	218154701	218154901	+	568	NA	intron (NR_026597, intron 12 of 12)	intron (NR_026597, intron 12 of 12)	7345	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
7:142436813	chr7	142436714	142436914	+	568	NA	Intergenic	LTR40b|LTR|ERVL	-20509	NM_002769	5644	Hs.382212	NM_002769	ENSG00000204983	PRSS1	TRP1|TRY1|TRY4|TRYP1	serine protease 1	protein-coding
6:157508441,6:157508535	chr6	157508342	157508636	+	566	NA	intron (NM_001363725, intron 11 of 17)	intron (NM_001363725, intron 11 of 17)	150928	NM_001363725	57492	Hs.291587	NM_017519	ENSG00000049618	ARID1B	6A3-5|BAF250B|BRIGHT|CSS1|DAN15|ELD/OSA1|MRD12|OSA2|P250R	AT-rich interaction domain 1B	protein-coding
22:42840709	chr22	42840610	42840810	+	566	NA	Intergenic	Intergenic	-6718	NM_001371362								
1:59858945	chr1	59858846	59859046	+	565	NA	intron (NM_001244714, intron 3 of 13)	intron (NM_001244714, intron 3 of 13)	83242	NM_001350792	55277	Hs.444301	NM_018291	ENSG00000172456	FGGY	-	FGGY carbohydrate kinase domain containing	protein-coding
3:193930798	chr3	193930699	193930899	+	562	NA	intron (NR_125403, intron 1 of 2)	intron (NR_125403, intron 1 of 2)	-6703	NR_125404	100505920	Hs.436654	NR_125403	ENSG00000225742	LINC02036	-	long intergenic non-protein coding RNA 2036	ncRNA
7:36951484,7:36951575	chr7	36951385	36951676	+	562	NA	intron (NM_001206482, intron 16 of 21)	intron (NM_001206482, intron 16 of 21)	7507	NR_031604	100302113		NR_031604	ENSG00000221325	MIR1200	MIRN1200|hsa-mir-1200	microRNA 1200	ncRNA
1:229166919	chr1	229166820	229167020	+	562	NA	Intergenic	LTR9|LTR|ERV1	143628	NR_039659	100616234		NR_039659	ENSG00000283468	MIR4454	-	microRNA 4454	ncRNA
21:45148710	chr21	45148611	45148811	+	559	NA	intron (NM_003681, intron 1 of 10)	CpG	9701	NM_003681	8566	Hs.284491	NM_003681	ENSG00000160209	PDXK	C21orf124|C21orf97|HEL-S-1a|PKH|PNK|PRED79	pyridoxal kinase	protein-coding
